Obs,Folha,Ep_Emissao,Tipo,Planta,Sexo,Galho,Ep_Medicao,Idade,A,gs,E,PPFD,Ta,Tl,IdadeE,Estacoes,environment,period_label,WUE,iWUE,LUE,deltaT,bio_unit,time_idx
1,1,1,sombra,1,F,1,2,3,2.029,0.1773,2.1,18.9,19.595,19.365,Jov_Madura,primavera,FUS,Sep 2003,0.9661904761904762,11.443880428652001,0.10735449735449736,-0.23000000000000043,1_1,3
2,1,1,sombra,1,F,1,3,5,7.12925,0.19047000000000003,2.115,388.075,28.1225,27.645,Jov_Madura,primavera,FUS,Nov 2003,3.37080378250591,37.429778967816446,0.018370804612510467,-0.47749999999999915,1_1,5
3,1,1,sombra,1,F,1,4,7,0.626425,0.07305,1.175,6.88825,25.86,25.4275,Madura,verao,FUS,Jan 2004,0.5331276595744681,8.575290896646132,0.09094109534351975,-0.432500000000001,1_1,7
4,1,1,sombra,1,F,1,5,9,1.2203,0.0835,2.4,18.82,27.7833,27.2067,Madura,outono,FUS,Mar 2004,0.5084583333333333,14.614371257485029,0.06484059511158342,-0.5765999999999991,1_1,9
5,2,1,sombra,1,F,3,2,3,1.435,0.09025000000000001,1.275,23.0275,20.295,20.035,Jov_Madura,primavera,FUS,Sep 2003,1.1254901960784316,15.900277008310248,0.06231679513625014,-0.26000000000000156,1_1,3
6,2,1,sombra,1,F,3,3,5,11.3525,0.14265,2.0125,381.25,28.1575,28.1025,Jov_Madura,primavera,FUS,Nov 2003,5.640993788819875,79.58289519803715,0.029777049180327867,-0.054999999999999716,1_1,5
7,3,1,sombra,2,M,2,2,3,1.16905,0.08945,1.425,6.1085,20.485,20.285,Jov_Madura,primavera,FUS,Sep 2003,0.8203859649122807,13.06931246506428,0.1913808627322583,-0.1999999999999993,2_1,3
8,3,1,sombra,2,M,2,3,5,7.3515,0.200703,1.99,88.4025,28.2225,27.9325,Jov_Madura,primavera,FUS,Nov 2003,3.694221105527638,36.62874994394703,0.08315941291253075,-0.28999999999999915,2_1,5
9,3,1,sombra,2,M,2,4,7,1.5785,0.16603199999999999,2.1,25.295,26.045,25.3725,Madura,verao,FUS,Jan 2004,0.7516666666666666,9.507203430663969,0.062403637082427355,-0.672500000000003,2_1,7
10,3,1,sombra,2,M,2,5,9,0.817233,0.19536699999999999,4.26667,6.96767,27.33,26.7333,Madura,outono,FUS,Mar 2004,0.19153883473528535,4.183065717342233,0.11728928034766285,-0.5966999999999985,2_1,9
11,4,1,sombra,2,M,3,2,3,1.37325,0.073475,1.05,16.7775,20.85,20.495,Jov_Madura,primavera,FUS,Sep 2003,1.3078571428571428,18.69003062266077,0.08185069289226643,-0.3550000000000004,2_1,3
12,4,1,sombra,2,M,3,3,5,1.09358,0.19086,1.93,25.235,27.8775,27.1075,Jov_Madura,primavera,FUS,Nov 2003,0.5666217616580311,5.729749554647386,0.04333584307509412,-0.7699999999999996,2_1,5
13,4,1,sombra,2,M,3,4,7,4.5135,0.177642,2.2925,32.6725,26.11,25.48,Madura,verao,FUS,Jan 2004,1.9688113413304251,25.40784273989259,0.13814369882929067,-0.629999999999999,2_1,7
14,4,1,sombra,2,M,3,5,9,1.62775,0.114375,3.65,33.395,30.18,29.905,Madura,outono,FUS,Mar 2004,0.44595890410958905,14.231693989071038,0.04874232669561311,-0.2749999999999986,2_1,9
15,4,1,sombra,2,M,3,6,11,1.4235,0.279125,1.6,22.075,20.655,20.245,Madura,inverno,FUS,May 2004,0.8896875,5.0998656515897896,0.06448471121177803,-0.41000000000000014,2_1,11
17,6,1,sombra,4,F,1,2,3,5.2275,0.09330000000000001,1.975,57.7,23.085,24.925,Jov_Madura,primavera,FUS,Sep 2003,2.6468354430379746,56.02893890675241,0.09059792027729635,1.8399999999999999,4_1,3
18,6,1,sombra,4,F,1,3,5,1.4535,0.21450000000000002,2.01187,14.145,31.3125,30.1575,Jov_Madura,primavera,FUS,Nov 2003,0.722462186920626,6.776223776223776,0.10275715800636268,-1.1550000000000011,4_1,5
19,6,1,sombra,4,F,1,4,7,2.22725,0.167994,2.4675,27.655,28.1275,27.2075,Madura,verao,FUS,Jan 2004,0.9026342451874368,13.257913973118088,0.08053697342252758,-0.9200000000000017,4_1,7
20,6,1,sombra,4,F,1,5,9,1.42632,0.22865000000000002,5.575,6.2255,26.7775,26.5,Madura,outono,FUS,Mar 2004,0.2558421524663677,6.238005685545593,0.22910930848927796,-0.27749999999999986,4_1,9
21,7,1,sombra,4,F,2,2,3,2.9947500000000002,0.100225,1.9,29.935,24.175,23.835,Jov_Madura,primavera,FUS,Sep 2003,1.576184210526316,29.88026939386381,0.10004175714047103,-0.33999999999999986,4_1,3
22,7,1,sombra,4,F,2,3,5,4.378,0.23072499999999999,1.42,11.3022,29.485,28.4775,Jov_Madura,primavera,FUS,Nov 2003,3.083098591549296,18.97497020262217,0.38735821344517,-1.0075000000000003,4_1,5
23,7,1,sombra,4,F,2,4,7,0.3889,0.119448,2.45,6.045,27.46,26.93,Madura,verao,FUS,Jan 2004,0.15873469387755101,3.255810059607528,0.06433416046319272,-0.5300000000000011,4_1,7
24,7,1,sombra,4,F,2,5,9,0.48050000000000004,0.212367,5.36667,6.32433,28.38,27.61,Madura,outono,FUS,Mar 2004,0.08953410587943735,2.26259258736056,0.0759764275425223,-0.7699999999999996,4_1,9
25,7,1,sombra,4,F,2,6,11,0.2756,0.23315000000000002,0.905,9.52175,20.5275,20.155,Madura,inverno,FUS,May 2004,0.3045303867403315,1.1820716277074843,0.028944259196051144,-0.3724999999999987,4_1,11
26,7,1,sombra,4,F,2,7,13,0.5323,0.19847499999999998,2.0,11.1278,21.9175,21.5525,Velha,inverno,FUS,Jul 2004,0.26615,2.681949867741529,0.04783515160229335,-0.365000000000002,4_1,13
27,7,1,sombra,4,F,2,8,15,5.747,0.12115000000000001,2.125,29.8475,21.95,21.215,Velha,primavera,FUS,Sep 2004,2.704470588235294,47.43706149401568,0.19254543931652568,-0.7349999999999994,4_1,15
