Period,Date_Range,Environment,Time,PPFD
Sep 2003,10-11/09/2003,AFS 1.2m,10:00,35.87
Sep 2003,10-11/09/2003,AFS 1.2m,10:10,46.0
Sep 2003,10-11/09/2003,AFS 1.2m,10:20,62.92
Sep 2003,10-11/09/2003,AFS 1.2m,10:30,49.51
Sep 2003,10-11/09/2003,AFS 1.2m,10:40,21.32
Sep 2003,10-11/09/2003,AFS 1.2m,10:50,23.95
Sep 2003,10-11/09/2003,AFS 1.2m,11:00,32.45
Sep 2003,10-11/09/2003,AFS 1.2m,11:10,148.5
Sep 2003,10-11/09/2003,AFS 1.2m,11:20,410.9
Sep 2003,10-11/09/2003,AFS 1.2m,11:30,65.34
Sep 2003,10-11/09/2003,AFS 1.2m,11:40,132.8
Sep 2003,10-11/09/2003,AFS 1.2m,11:50,175.2
Sep 2003,10-11/09/2003,AFS 1.2m,12:00,176.7
Sep 2003,10-11/09/2003,AFS 1.2m,12:10,25.46
Sep 2003,10-11/09/2003,AFS 1.2m,12:20,30.01
Sep 2003,10-11/09/2003,AFS 1.2m,12:30,24.25
Sep 2003,10-11/09/2003,AFS 1.2m,12:40,329.7
Sep 2003,10-11/09/2003,AFS 1.2m,12:50,80.23
Sep 2003,10-11/09/2003,AFS 1.2m,13:00,507.5
Sep 2003,10-11/09/2003,AFS 1.2m,13:10,214.6
Sep 2003,10-11/09/2003,AFS 1.2m,13:20,109.3
Sep 2003,10-11/09/2003,AFS 1.2m,13:30,23.54
Sep 2003,10-11/09/2003,AFS 1.2m,13:40,20.28
Sep 2003,10-11/09/2003,AFS 1.2m,13:50,9.05
Sep 2003,10-11/09/2003,AFS 1.2m,14:00,30.8
Sep 2003,10-11/09/2003,AFS 1.2m,14:10,46.56
Sep 2003,10-11/09/2003,AFS 1.2m,14:20,49.7
Sep 2003,10-11/09/2003,AFS 1.2m,14:30,46.98
Sep 2003,10-11/09/2003,AFS 1.2m,14:40,60.4
Sep 2003,10-11/09/2003,AFS 1.2m,14:50,65.95
Sep 2003,10-11/09/2003,AFS 1.2m,15:00,42.08
Sep 2003,10-11/09/2003,AFS 1.2m,15:10,83.36
Sep 2003,10-11/09/2003,AFS 1.2m,15:20,125.4
Sep 2003,10-11/09/2003,AFS 1.2m,15:30,292.1
Sep 2003,10-11/09/2003,AFS 1.2m,15:40,97.06
Sep 2003,10-11/09/2003,AFS 1.2m,15:50,132.3
Sep 2003,10-11/09/2003,AFS 1.2m,16:00,25.6
Sep 2003,10-11/09/2003,AFS 1.2m,16:10,30.69
Sep 2003,10-11/09/2003,AFS 1.2m,16:20,81.58
Sep 2003,10-11/09/2003,AFS 1.2m,16:30,17.51
Sep 2003,10-11/09/2003,AFS 1.2m,16:40,19.84
Sep 2003,10-11/09/2003,AFS 1.2m,16:50,26.22
Sep 2003,10-11/09/2003,AFS 1.2m,17:00,24.27
Sep 2003,10-11/09/2003,AFS 1.2m,17:10,17.45
Sep 2003,10-11/09/2003,AFS 1.2m,17:20,13.07
Sep 2003,10-11/09/2003,AFS 1.2m,17:30,11.03
Sep 2003,10-11/09/2003,AFS 1.2m,17:40,8.8
Sep 2003,10-11/09/2003,AFS 1.2m,17:50,7.41
Sep 2003,10-11/09/2003,AFS 1.2m,18:00,5.98
Sep 2003,10-11/09/2003,AFS 1.2m,18:10,4.19
Sep 2003,10-11/09/2003,AFS 1.2m,18:20,2.41
Sep 2003,10-11/09/2003,AFS 1.2m,18:30,0.85
Sep 2003,10-11/09/2003,AFS 1.2m,6:10,0.03
Sep 2003,10-11/09/2003,AFS 1.2m,6:20,0.41
Sep 2003,10-11/09/2003,AFS 1.2m,6:30,0.8
Sep 2003,10-11/09/2003,AFS 1.2m,6:40,2.16
Sep 2003,10-11/09/2003,AFS 1.2m,6:50,4.47
Sep 2003,10-11/09/2003,AFS 1.2m,7:00,5.12
Sep 2003,10-11/09/2003,AFS 1.2m,7:10,6.96
Sep 2003,10-11/09/2003,AFS 1.2m,7:20,8.53
Sep 2003,10-11/09/2003,AFS 1.2m,7:30,9.87
Sep 2003,10-11/09/2003,AFS 1.2m,7:40,11.05
Sep 2003,10-11/09/2003,AFS 1.2m,7:50,12.47
Sep 2003,10-11/09/2003,AFS 1.2m,8:00,14.99
Sep 2003,10-11/09/2003,AFS 1.2m,8:10,18.67
Sep 2003,10-11/09/2003,AFS 1.2m,8:20,21.09
Sep 2003,10-11/09/2003,AFS 1.2m,8:30,115.6
Sep 2003,10-11/09/2003,AFS 1.2m,8:40,134.2
Sep 2003,10-11/09/2003,AFS 1.2m,8:50,59.73
Sep 2003,10-11/09/2003,AFS 1.2m,9:00,17.42
Sep 2003,10-11/09/2003,AFS 1.2m,9:10,17.72
Sep 2003,10-11/09/2003,AFS 1.2m,9:20,18.05
Sep 2003,10-11/09/2003,AFS 1.2m,9:30,18.45
Sep 2003,10-11/09/2003,AFS 1.2m,9:40,18.75
Sep 2003,10-11/09/2003,AFS 1.2m,9:50,26.13
Sep 2003,24-25/09/2003,AFS 1.2m,10:00,60.53
Sep 2003,24-25/09/2003,AFS 1.2m,10:10,72.23
Sep 2003,24-25/09/2003,AFS 1.2m,10:20,90.65
Sep 2003,24-25/09/2003,AFS 1.2m,10:30,93.88
Sep 2003,24-25/09/2003,AFS 1.2m,10:40,94.53
Sep 2003,24-25/09/2003,AFS 1.2m,10:50,107.6
Sep 2003,24-25/09/2003,AFS 1.2m,11:00,108.1
Sep 2003,24-25/09/2003,AFS 1.2m,11:10,113.9
Sep 2003,24-25/09/2003,AFS 1.2m,11:20,77.98
Sep 2003,24-25/09/2003,AFS 1.2m,11:30,72.4
Sep 2003,24-25/09/2003,AFS 1.2m,11:40,52.0
Sep 2003,24-25/09/2003,AFS 1.2m,11:50,63.98
Sep 2003,24-25/09/2003,AFS 1.2m,12:00,65.93
Sep 2003,24-25/09/2003,AFS 1.2m,12:10,77.3
Sep 2003,24-25/09/2003,AFS 1.2m,12:20,46.73
Sep 2003,24-25/09/2003,AFS 1.2m,12:30,71.4
Sep 2003,24-25/09/2003,AFS 1.2m,12:40,97.28
Sep 2003,24-25/09/2003,AFS 1.2m,12:50,46.4
Sep 2003,24-25/09/2003,AFS 1.2m,13:00,64.85
Sep 2003,24-25/09/2003,AFS 1.2m,13:10,83.33
Sep 2003,24-25/09/2003,AFS 1.2m,13:20,90.48
Sep 2003,24-25/09/2003,AFS 1.2m,13:30,94.6
Sep 2003,24-25/09/2003,AFS 1.2m,13:40,89.65
Sep 2003,24-25/09/2003,AFS 1.2m,13:50,15.37
Sep 2003,24-25/09/2003,AFS 1.2m,14:00,64.3
Sep 2003,24-25/09/2003,AFS 1.2m,14:10,60.38
