Period,Date_Range,Environment,Time,R_FR
Sep 2003,13-14/09/2003,AFS 1.2m,10:00,0.28859
Sep 2003,13-14/09/2003,AFS 1.2m,10:10,0.34772
Sep 2003,13-14/09/2003,AFS 1.2m,10:20,0.59372
Sep 2003,13-14/09/2003,AFS 1.2m,10:30,0.38198
Sep 2003,13-14/09/2003,AFS 1.2m,10:40,0.26319
Sep 2003,13-14/09/2003,AFS 1.2m,10:50,0.25681
Sep 2003,13-14/09/2003,AFS 1.2m,11:00,0.35554
Sep 2003,13-14/09/2003,AFS 1.2m,11:10,0.55101
Sep 2003,13-14/09/2003,AFS 1.2m,11:20,0.52478
Sep 2003,13-14/09/2003,AFS 1.2m,11:30,0.38129
Sep 2003,13-14/09/2003,AFS 1.2m,11:40,0.52793
Sep 2003,13-14/09/2003,AFS 1.2m,11:50,0.92969
Sep 2003,13-14/09/2003,AFS 1.2m,12:00,0.84385
Sep 2003,13-14/09/2003,AFS 1.2m,12:10,0.67809
Sep 2003,13-14/09/2003,AFS 1.2m,12:20,0.60655
Sep 2003,13-14/09/2003,AFS 1.2m,12:30,0.35522
Sep 2003,13-14/09/2003,AFS 1.2m,12:40,0.40212
Sep 2003,13-14/09/2003,AFS 1.2m,12:50,0.39407
Sep 2003,13-14/09/2003,AFS 1.2m,13:00,0.95981
Sep 2003,13-14/09/2003,AFS 1.2m,13:10,0.84213
Sep 2003,13-14/09/2003,AFS 1.2m,13:20,0.51058
Sep 2003,13-14/09/2003,AFS 1.2m,13:30,0.27642
Sep 2003,13-14/09/2003,AFS 1.2m,13:40,0.32665
Sep 2003,13-14/09/2003,AFS 1.2m,13:50,0.49003
Sep 2003,13-14/09/2003,AFS 1.2m,14:00,0.30768
Sep 2003,13-14/09/2003,AFS 1.2m,14:10,0.55718
Sep 2003,13-14/09/2003,AFS 1.2m,14:20,0.558
Sep 2003,13-14/09/2003,AFS 1.2m,14:30,0.47599
Sep 2003,13-14/09/2003,AFS 1.2m,14:40,0.41604
Sep 2003,13-14/09/2003,AFS 1.2m,14:50,0.64484
Sep 2003,13-14/09/2003,AFS 1.2m,15:00,0.41063
Sep 2003,13-14/09/2003,AFS 1.2m,15:10,0.52951
Sep 2003,13-14/09/2003,AFS 1.2m,15:20,0.89428
Sep 2003,13-14/09/2003,AFS 1.2m,15:30,0.96898
Sep 2003,13-14/09/2003,AFS 1.2m,15:40,0.53482
Sep 2003,13-14/09/2003,AFS 1.2m,15:50,0.6046
Sep 2003,13-14/09/2003,AFS 1.2m,16:00,0.39936
Sep 2003,13-14/09/2003,AFS 1.2m,16:10,0.55725
Sep 2003,13-14/09/2003,AFS 1.2m,16:20,0.78605
Sep 2003,13-14/09/2003,AFS 1.2m,16:30,0.45939
Sep 2003,13-14/09/2003,AFS 1.2m,16:40,0.48658
Sep 2003,13-14/09/2003,AFS 1.2m,16:50,0.52762
Sep 2003,13-14/09/2003,AFS 1.2m,17:00,0.69108
Sep 2003,13-14/09/2003,AFS 1.2m,17:10,0.58206
Sep 2003,13-14/09/2003,AFS 1.2m,17:20,0.64928
Sep 2003,13-14/09/2003,AFS 1.2m,17:30,0.70698
Sep 2003,13-14/09/2003,AFS 1.2m,17:40,0.76328
Sep 2003,13-14/09/2003,AFS 1.2m,17:50,0.81623
Sep 2003,13-14/09/2003,AFS 1.2m,18:00,0.82579
Sep 2003,13-14/09/2003,AFS 1.2m,18:10,0.8186
Sep 2003,13-14/09/2003,AFS 1.2m,18:20,0.77116
Sep 2003,13-14/09/2003,AFS 1.2m,18:30,0.68271
Sep 2003,13-14/09/2003,AFS 1.2m,6:10,0.49214
Sep 2003,13-14/09/2003,AFS 1.2m,6:20,0.50858
Sep 2003,13-14/09/2003,AFS 1.2m,6:30,0.51758
Sep 2003,13-14/09/2003,AFS 1.2m,6:40,0.52993
Sep 2003,13-14/09/2003,AFS 1.2m,6:50,0.55348
Sep 2003,13-14/09/2003,AFS 1.2m,7:00,0.5408
Sep 2003,13-14/09/2003,AFS 1.2m,7:10,0.49402
Sep 2003,13-14/09/2003,AFS 1.2m,7:20,0.48071
Sep 2003,13-14/09/2003,AFS 1.2m,7:30,0.43546
Sep 2003,13-14/09/2003,AFS 1.2m,7:40,0.41494
Sep 2003,13-14/09/2003,AFS 1.2m,7:50,0.38922
Sep 2003,13-14/09/2003,AFS 1.2m,8:00,0.37155
Sep 2003,13-14/09/2003,AFS 1.2m,8:10,0.35508
Sep 2003,13-14/09/2003,AFS 1.2m,8:20,0.34004
Sep 2003,13-14/09/2003,AFS 1.2m,8:30,0.33051
Sep 2003,13-14/09/2003,AFS 1.2m,8:40,0.32046
Sep 2003,13-14/09/2003,AFS 1.2m,8:50,0.3118
Sep 2003,13-14/09/2003,AFS 1.2m,9:00,0.30161
Sep 2003,13-14/09/2003,AFS 1.2m,9:10,0.29343
Sep 2003,13-14/09/2003,AFS 1.2m,9:20,0.28756
Sep 2003,13-14/09/2003,AFS 1.2m,9:30,0.28075
Sep 2003,13-14/09/2003,AFS 1.2m,9:40,0.2765
Sep 2003,13-14/09/2003,AFS 1.2m,9:50,0.27377
Sep 2003,27-28/09/2003,AFS 1.2m,10:00,0.50246
Sep 2003,27-28/09/2003,AFS 1.2m,10:10,0.45866
Sep 2003,27-28/09/2003,AFS 1.2m,10:20,0.54297
Sep 2003,27-28/09/2003,AFS 1.2m,10:30,0.68406
Sep 2003,27-28/09/2003,AFS 1.2m,10:40,0.94676
Sep 2003,27-28/09/2003,AFS 1.2m,10:50,1.04632
Sep 2003,27-28/09/2003,AFS 1.2m,11:00,0.86974
Sep 2003,27-28/09/2003,AFS 1.2m,11:10,0.79751
Sep 2003,27-28/09/2003,AFS 1.2m,11:20,0.63142
Sep 2003,27-28/09/2003,AFS 1.2m,11:30,0.4919
Sep 2003,27-28/09/2003,AFS 1.2m,11:40,0.58425
Sep 2003,27-28/09/2003,AFS 1.2m,11:50,0.72226
Sep 2003,27-28/09/2003,AFS 1.2m,12:00,0.86469
Sep 2003,27-28/09/2003,AFS 1.2m,12:10,0.80149
Sep 2003,27-28/09/2003,AFS 1.2m,12:20,0.71525
Sep 2003,27-28/09/2003,AFS 1.2m,12:30,0.82923
Sep 2003,27-28/09/2003,AFS 1.2m,12:40,0.66235
Sep 2003,27-28/09/2003,AFS 1.2m,12:50,0.61035
Sep 2003,27-28/09/2003,AFS 1.2m,13:00,0.58174
Sep 2003,27-28/09/2003,AFS 1.2m,13:10,0.6168
Sep 2003,27-28/09/2003,AFS 1.2m,13:20,0.51677
Sep 2003,27-28/09/2003,AFS 1.2m,13:30,0.58526
Sep 2003,27-28/09/2003,AFS 1.2m,13:40,0.65131
Sep 2003,27-28/09/2003,AFS 1.2m,13:50,0.63749
Sep 2003,27-28/09/2003,AFS 1.2m,14:00,0.53053
Sep 2003,27-28/09/2003,AFS 1.2m,14:10,0.52036
Sep 2003,27-28/09/2003,AFS 1.2m,14:20,0.51038
Sep 2003,27-28/09/2003,AFS 1.2m,14:30,0.51001
Sep 2003,27-28/09/2003,AFS 1.2m,14:40,0.51106
Sep 2003,27-28/09/2003,AFS 1.2m,14:50,0.50851
Sep 2003,27-28/09/2003,AFS 1.2m,15:00,0.52417
Sep 2003,27-28/09/2003,AFS 1.2m,15:10,0.53146
Sep 2003,27-28/09/2003,AFS 1.2m,15:20,0.51859
Sep 2003,27-28/09/2003,AFS 1.2m,15:30,0.5249
Sep 2003,27-28/09/2003,AFS 1.2m,15:40,0.51314
Sep 2003,27-28/09/2003,AFS 1.2m,15:50,0.51206
Sep 2003,27-28/09/2003,AFS 1.2m,16:00,0.51452
Sep 2003,27-28/09/2003,AFS 1.2m,16:10,0.51787
Sep 2003,27-28/09/2003,AFS 1.2m,16:20,0.52392
Sep 2003,27-28/09/2003,AFS 1.2m,16:30,0.53451
Sep 2003,27-28/09/2003,AFS 1.2m,16:40,0.52797
Sep 2003,27-28/09/2003,AFS 1.2m,16:50,0.53803
Sep 2003,27-28/09/2003,AFS 1.2m,17:00,0.54229
Sep 2003,27-28/09/2003,AFS 1.2m,17:10,0.53788
Sep 2003,27-28/09/2003,AFS 1.2m,17:20,0.54253
Sep 2003,27-28/09/2003,AFS 1.2m,17:30,0.54581
Sep 2003,27-28/09/2003,AFS 1.2m,17:40,0.55615
Sep 2003,27-28/09/2003,AFS 1.2m,17:50,0.58813
Sep 2003,27-28/09/2003,AFS 1.2m,18:00,0.56422
Sep 2003,27-28/09/2003,AFS 1.2m,18:10,0.57473
Sep 2003,27-28/09/2003,AFS 1.2m,18:20,0.64993
Sep 2003,27-28/09/2003,AFS 1.2m,18:30,0.66949
Sep 2003,27-28/09/2003,AFS 1.2m,6:10,0.5486
