observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,8.39,8,6.4,12,7,23,5,0,0,0,0,0
O5,22/09/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,7,5,158.78,2,4.7,4,4,148.86,0,4.7,7,4,19.77,3
O7,23/10/03,15.7,26,18,876.15,8,20.6,41,23,766.48,18,8.7,17,10,178.85,7,9.3,7,6,199.88,1,8.5,8,8,199.59,0,5.8,2,2,190.81,0
O9,22/11/03,10.3,14,14,349.49,0,8.2,12,10,472.63,2,8.4,11,11,435.42,0,8.5,15,14,460.75,1,9.7,4,4,522.4,0,3,2,2,118.5,0
O10,15/12/03,0.5,1,1,108.95,0,0.3,1,1,35.15,0,0.7,1,1,62.38,0,3,0,0,60.25,0,1.5,0,0,31.85,0,0,0,0,0,0
O12,19/01/04,0.2,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,2.5,0,0,0,0,0,0
O13,09/02/04,9.8,13,3,25,10,6.9,18,2,16.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O15,22/03/04,21.1,18,18,552.3,0,12.3,15,12,203.98,3,14.3,12,6,111.85,6,2.7,1,0,0,1,6.7,13,2,17.5,11,12.4,7,3,53.25,4
O17,21/04/04,0.5,0,0,24.9,0,0.3,3,3,29.95,0,1.7,2,2,51.3,0,0,0,0,0,0,0.2,2,0,0,2,2.8,5,1,21.25,4
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-5,-103.85,5,0,0,-9,-285.78,9,0,0,-4,-71.7,4,0,-4,-9,-126.98,5,0,0,0,0,0,0,0,0,0,0
O20,15/07/04,0,0,-7,-327.85,7,0,0,-15,-71.25,15,0,0,0,0,0,0,0,-8,-454.07,8,0,0,-6,-42.78,6,0,0,-5,-177.58,5
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,0,0,0,0,1.6,15,0,5.34,15,0,0,0,0,0,0.3,3,3,5.7,0,2.3,5,3,12.75,2,6.1,11,7,40.5,4
O24,18/10/04,4.6,20,17,-955.39,3,1.3,5,5,-990.78,0,3.9,18,13,-639.65,5,22,9,9,272.86,0,4.3,2,2,182.5,0,23.6,11,11,470.78,0
O26,17/11/04,14.9,1,1,223.84,0,13.4,15,10,342.84,5,12.1,0,0,232.68,0,13.5,4,4,585.4,0,10.2,3,1,-146.5,2,8.9,0,0,487.28,0
O27,06/12/04,0,0,0,0,0,0.1,1,1,27.33,0,0,0,0,-2.98,0,0.6,0,0,115.09,0,0,0,0,244.9,0,0.3,0,0,18.63,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,11,11,87.96,0,0,0,0,0,0,12.1,4,4,33.11,0
O33,25/03/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,12,7,265.6,5,0,0,0,0,0,0,10,0,0,10
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5.1,4,4,268.93,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1,1,248.44,0,0,0,0,0,0,0.2,0,0,36.52,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
