observação,data,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O7,23/10/03,27.1,33,17,718.5,16,31.4,32,15,582.15,17,11.9,16,7,98.32,9,1.8,14,6,49.1,8,5.7,25,11,76.65,14,0,0,0,0,0
O9,22/11/03,23.7,11,11,708.83,0,13.6,5,5,562.1,0,39.1,16,16,839.38,0,3.4,6,2,100.25,4,10.3,6,6,410.6,0,6.4,17,7,346.3,10
O10,15/12/03,5.7,5,2,104.7,3,0,0,0,20.3,0,0.3,1,1,75.82,0,0.1,1,1,63.1,0,0.8,0,0,60.8,0,2,1,1,133.6,0
O12,19/01/04,2.3,3,1,3,2,0,0,0,0,0,0.8,0,0,13.95,0,0,0,-1,-29.1,1,0.3,0,0,4.2,0,0,0,0,0,0
O13,09/02/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O15,22/03/04,32.8,24,23,266.33,1,49.7,23,17,717.9,6,14.8,13,9,218.99,4,16.4,14,12,565,2,0,0,0,0,0,5,8,2,101.45,6
O17,21/04/04,3.5,8,8,114.71,0,3.6,4,2,73.1,2,0.7,0,0,27,0,0.9,0,0,57.35,0,0,0,0,10.5,0,0.2,1,1,36.25,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-28,-1309.03,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O20,15/07/04,0,0,-5,-191.5,5,0,0,-3,-47.55,3,0,0,-4,-75.12,4,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-6,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,1.8,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,0,0,0,0,0,0,0,0,0,-0.1,14,0,0,14,0,0,-1,-72,1,0,0,0,0,0,0,1,0,0,1
O24,18/10/04,18,22,15,-19.93,7,15.3,23,15,-298.5,8,14.1,13,13,-387.07,0,17.9,19,10,68.75,9,28.3,20,10,-262.61,10,22.8,12,11,144.04,1
O26,17/11/04,8.9,0,0,133.89,0,9.2,0,0,111.7,0,10.6,0,0,200.54,0,13.9,2,2,373.88,0,23.7,3,0,384.97,3,19.4,3,3,407.42,0
O27,06/12/04,0,0,0,5.7,0,0,0,0,18.55,0,0.2,0,0,10.51,0,2.2,1,1,84.06,0,1,0,0,127.96,0,0.2,0,0,106.09,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,2.36,0,0,1,0,0,1,1.1,0,0,47.27,0,3.4,5,5,62.08,0,0,0,0,11,0,0.2,0,0,0,0
O33,25/03/05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,9,9,9,191.04,0,10,10,4,23.38,6,0,20,0,0,20
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,227.65,0,1.2,1,1,80.47,0,0,0,0,0,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
