observação,data,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,3,2.21,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,-2,-2.17,6,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,5.9,22,5,19.8,17,9.3,24,8,72.55,16,4.3,19,5,14.78,14,0.5,2,-1,-0.04,3,10.1,29,6,70.65,23,6.8,11,9,208.9,2
O7,23/10/03,28.3,16,16,598.93,0,32.5,15,15,798.5,0,22.2,11,10,441.86,1,0,0,0,0,0,18.2,8,8,477.1,0,2.3,0,0,83.95,0
O9,22/11/03,34.1,17,15,765.31,2,38.9,20,16,1056.8,4,27.2,17,16,641.84,1,2.9,4,4,167.5,0,2.6,1,1,247.25,0,12.3,16,7,184.25,9
O10,15/12/03,10.6,13,6,201.76,7,17.2,10,8,463.18,2,6.4,10,7,242.39,3,0,0,0,0,0,0.5,1,1,13.75,0,0,1,1,76.55,0
O12,19/01/04,23.2,18,12,393.3,6,44.2,28,18,570.02,10,13.9,15,14,247.05,1,0,0,0,0,0,1.2,0,0,71,0,0.9,0,0,4.7,0
O13,09/02/04,27,21,14,259.1,7,15.1,14,13,501.55,1,13.1,17,13,199.75,4,0,0,0,0,0,0.4,1,1,16.8,0,0,0,0,0,0
O15,22/03/04,35,25,18,424.25,7,29,21,18,418.35,3,9,7,6,210.07,1,31,19,7,543,12,14.7,10,8,275.7,2,0,0,0,0,0
O17,21/04/04,0,7,6,0,1,0,8,5,0,3,0.4,0,0,4.18,0,1.5,3,2,110.15,1,1.1,0,0,19.85,0,0,0,0,0,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-30,-1702.43,30,0,0,0,0,0,0,0,0,0,0,0,0,-10,-433.35,10,0,0,0,0,0
O20,15/07/04,0,0,-33,-1452.3,33,0,0,-14,-593.05,14,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3.75,1,0,0,-4,-58.35,4
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,16,7,0,9,0,19,11,0,8,1.3,7,7,13.13,0,1.6,7,2,-128.66,5,0,0,-7,-501.25,7,3,9,0,-19.8,9
O24,18/10/04,0,11,10,-504.75,1,0,10,10,-930.22,0,17.8,14,14,-479.26,0,7.1,4,3,-161.56,1,14.2,15,12,152.05,3,10,7,6,83.34,1
O26,17/11/04,0,0,-5,0,5,0,2,2,0,0,23.8,11,5,305,6,1.3,0,0,54.75,0,6.1,1,0,374.51,1,9.7,3,2,190.08,1
O27,06/12/04,0,5,5,0,0,0,2,2,0,0,2,-1,-1,46.43,0,0.5,1,1,-114.78,0,0.5,0,-1,-361.88,1,0.4,0,-1,49.53,1
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1,-1,2.2,0,0.5,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,4,4,0,0,0,1,1,0,0,0,8,8,0.7,0,0,0,0,2.4,0,0.1,0,0,0,0,0.2,1,1,6.09,0
O33,25/03/05,0,15,10,0,5,0,20,20,0,0,0,25,14,0,11,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O37,27/05/05,0,0,-1,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
