,,Galho 1,,,,,Galho 2,,,,,Galho 3,,,,,Galho 1,,,,,Galho 2,,,,,Galho 3,,,,
observação,data,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3,acaule_Galho1,aEN_Galho1,afolhas_Galho1,aAF_Galho1,qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,acaule_Galho3,aEN_Galho3,afolhas_Galho3,aAF_Galho3,qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,11,1,0.4,10,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,3.2,20,5,9.14,15,4.2,15,1,1.5,14,0,0,0,0,0,14.9,18,10,184.74,8,20.8,17,6,85.75,11,29.3,18,12,554.81,6
O7,23/10/03,20.5,8,7,197.81,1,15.2,7,7,174.08,0,13,20,6,179.23,14,1.9,10,3,20.5,7,0.9,3,3,27.55,0,0,0,0,0,0
O9,22/11/03,19.1,9,8,353.28,1,27.8,7,7,421.57,0,37.4,11,8,453.52,3,4.8,3,3,218.5,0,20.1,8,5,272.9,3,0,0,0,0,0
O10,15/12/03,3.7,3,2,114.47,1,2.6,3,1,86.42,2,9.5,11,3,164.76,8,0.7,1,1,82.4,0,1.5,1,1,122.05,0,1,0,0,30.79,0
O12,19/01/04,17.7,12,6,85.7,6,11.1,9,3,56.43,6,22,10,8,121.31,2,0,0,0,0,0,20.2,22,13,193.08,9,12.1,9,4,23.5,5
O13,09/02/04,8.7,6,5,57.1,1,14.4,6,6,160.55,0,14.2,14,4,26,10,8.8,11,4,184.73,7,10.8,5,5,320.82,0,0,0,0,7,0
O15,22/03/04,16.5,13,-2,0.3,15,13.9,10,6,204.51,4,11.4,5,0,12.1,5,7.8,7,5,31.2,2,20,18,15,610.23,3,4.9,7,6,77.5,1
O17,21/04/04,3.3,8,0,0,8,4.7,6,5,63.89,1,0,0,0,0,0,0.8,1,1,40.4,0,2.9,5,5,272.5,0,0.9,0,-1,15,1
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-14,-578.3,14,0,0,-13,-523.55,13,0,0,-16,0,16,0,0,-6,-69.35,6,0,0,-7,-163.25,7,0,0,0,0,0
O20,15/07/04,0,0,-2,-58.75,2,0,0,-1,-40.5,1,0,0,0,0,0,0,0,-5,-121.9,5,0,0,-1,-47,1,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,1.4,14,1,0.25,13,1.1,8,3,22.67,5,4.1,24,7,20.91,17,4.8,6,-4,-396.03,10,9.5,13,-12,-699.7,25,1.4,8,5,-112.52,3
O24,18/10/04,0.6,6,0,-47.25,6,10.8,13,12,11.49,1,18,11,11,-315.36,0,4.1,1,1,220.7,0,22.7,13,12,-41.34,1,22.6,6,-2,549.57,8
O26,17/11/04,0,0,0,-0.25,0,10.1,2,0,170.09,2,9.2,2,2,299.07,0,3.8,2,0,104.65,2,11.7,1,-1,290.89,2,12.7,3,1,331.81,2
O27,06/12/04,0,0,0,1.25,0,0.1,-1,-3,-165.38,2,1,0,0,23.55,0,0.3,0,0,-23.39,0,1.2,0,0,65.13,0,0.7,0,0,11.26,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,-1,-0.25,1,0.2,0,-1,-38.25,1,16.5,7,6,25.63,1,0.3,0,0,-22.05,0,16.1,17,17,166.86,0,23.9,13,13,113.07,0
O33,25/03/05,0,0,0,0,0,0,0,0,0,0,15.5,9,3,25.76,6,0,0,0,0,0,9.8,3,3,184,0,25.9,13,3,404.95,10
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,7,2,-8.71,5,0,0,0,0,0,0,8,1,0,7,4.7,1,1,239.44,0
O37,27/05/05,0,0,0,0,0,15.2,16,0,197.8,16,0,11,9,0,2,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
