obs,FE-MO,FE-FUS,MA-FUS,grupo,MA-MO,gd,T min average,T max average
M6,0,0,0,pausa,0,254.5,12.57,19.57
M7,0,0.175,2.881818182,pausa,0,282.1,9.94,18.87
M8,0,0.85,1.572727273,pausa,0,326.2,10.18,21.57
M9,4.87,18.075,20.2,pausa,3.04,281.7,8.61,20.17
M10,23.85,25.7,20.70909091,cresc,18.4,460.1,14.85,24.84
M11,27.09,19.9675,15.61545455,cresc,21.9,444.8,15.22,24.43
M12,7.34,3.225,3.209090909,cresc,7.76,398.8,16.98,27.70
M1,21.33,22.45,17.27909091,cresc,29.58,625.4,17.45,28.29
M2,12.49,8.7,10.53636364,cresc,19.86,384.6,18.44,28.30
M3,29.99,15.35,23.22727273,cresc,30.42,699.6,16.29,27.02
M4,8.91,1.1,7.190909091,cresc,12.7,508.8,16.19,27.73
M5,0,0,0,pausa,0,257.35,12.78,20.67
M6,0,0,0,pausa,0,268.5,9.45,16.82
M7,0,0,0,pausa,0,332.9,12.15,20.05
M8,0.47,0,0,pausa,0,254.2,8.85,17.54
M9,2.271,7.4,5.781818182,pausa,2.28,359.8,11.17,22.05
M10,14.149,26,22.69090909,cresc,12.34,456,13.00,23.82
M11,19.94,19.375,16.88181818,cresc,17.88,388.05,12.90,22.97
M12,0.7,1.725,0.6363636364,pausa,1.08,322.5,16.68,27.26
M1,0,0,0,pausa,0,779.8,17.42,28.02
M2,5.58,5.05,8.854545455,cresc,10.54,643.7,17.34,28.42
M3,4.5,24.625,15.55454545,cresc,5.24,509.1,17.21,27.90
M4,2.28,1.825,3.963636364,cresc,1.34,501.15,16.32,25.00
M5,2.16,0.175,0.7909090909,pausa,0.14,338.95,11.71,20.16
M6,0,0,0,pausa,0,194.65,14.52,23.29
