,Date ,07-08/01/2004,08-09/01/2004,11-12/01/2004,10-11/01/2004,11-12/01/2004,12-13/01/2004,13-14/01/2004,14-15/01/2004,15-16/01/2004,15-16/01/2004,17-18/01/2004,18-19/01/2004
,& environment,AFS 1.2m,AFS 2m,MO 2m,MO 1.2m,Open area 2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,Open area 2m,MO 2m,MO 1.2m
,5:30,0.1883,0.8684,1.489,0.962,4.151,2.204,0.414,0.1821,4.152,2.945,1.135,0.98
,5:40,0.2314,2.027,8.217,1.1696,8.288,6.935,1.1067,0.945,9.719,13.42,6.31,4.379
,5:50,1.5255,3.137,10.55,1.57,11.105,13.83,1.608,1.1385,14.46,14.895,11.485,8.778
Hour,6:00,3.552,4.137,15.3,13.39,18.87,27.12,2.733,2.614,18.93,16.37,16.66,9.177
,6:10,4.762,5.51,30.52,25.47,31.15,32.5,3.565,3.435,36.72,32.57,37.91,31.39
,6:20,6.542,6.734,40.11,40.97,42.69,41.71,4.866,4.359,70.92,77.68,43.77,44.76
,6:30,8.815,7.51,53.01,49.11,125.1,134.4,7.015,4.786,135.5,151.1,112.2,111.3
,6:40,10.94,11.12,85.4,73.71,157.8,123,9.406,6.186,163.3,179.9,123.8,104.1
,6:50,12.61,12.67,158.1,85.71,332.6,210.9,11.98,6.963,191.1,208.7,140.8,123.9
,7:00,14.87,12.42,263.4,94.94,419,313.4,10.9,8.572,208.9,222.6,195.1,159.8
,7:10,17.21,12.14,391.3,113.4,491.9,424,10.11,12.04,416.5,390.1,321.6,132.6
,7:20,19.14,15.52,462.4,111.1,551.2,487.3,12.17,16.54,501,536,324.8,152.3
,7:30,21.33,17.57,537.8,138.4,609.4,558.2,20.87,18.93,570.4,487.9,348.8,188.6
,7:40,24.36,21.04,622.6,134.5,668.2,634.4,26.01,20.72,639.2,786.9,466.1,198.2
,7:50,25.91,21.43,703.4,177.9,732.6,706.3,24.66,21.74,712.2,879.2,611.6,225
,8:00,26.65,29.05,768,208.8,799,777.4,18.53,22.1,793.6,880.6,650.5,213.8
,8:10,32.81,25.61,752.8,248.7,864.1,850.6,20.7,26.36,873,763.6,749.3,203.6
,8:20,33.24,20.23,871.8,223.8,930.2,922.9,16.14,24.66,944,939.7,902.4,281.6
,8:30,33.56,20.89,992.8,207.8,997.8,994.6,15.79,31.73,1011,850.2,979.6,303.8
,8:40,32.73,49.3,1072,219.9,1072,1062,42.53,21.03,1076,1149,843.9,401.8
,8:50,54.86,118.5,1135,194,1141,1129,122.3,34.25,1145,1050,938.2,498.5
,9:00,103.3,133.6,1211,564.8,1211,1297,21.13,44.54,1209,1318,933.1,435.2
,9:10,21.54,25.34,1265,1115,1285,1263,26.01,42.07,1273,1420,1137,526.8
,9:20,15.69,24.66,1303,1119,1348,1326,19.74,39.89,1333,1525,1332,451.9
,9:30,16.56,25.52,1368,1210,1405,1384,20.96,41.33,1392,1660,1230,448.1
,9:40,19.12,27.24,1394,698.4,1463,1443,21.99,42.81,1445,1742,1257,491
,9:50,46.28,42.51,1501,945.4,1524,1497,31.11,48.02,1505,1393,1453,513.3
,10:00,40.92,67.89,1539,1251,1587,1539,36.86,47.58,1554,1062,1532,678.1
,10:10,35.82,28.3,1604,1545,1618,1588,33.33,44.01,1556,1089,1545,700
,10:20,32.61,50.36,1036,1591,1664,1616,36.35,53.82,1503,1232,1626,635.4
,10:30,64.27,41.83,1564,1609,1580,1685,66.1,57.47,1688,1454,1627,718.6
,10:40,26.16,31.83,1749,1638,1801,1732,27.82,55.44,1676,1527,1728,714.5
,10:50,39.92,39.74,1695,1081,1840,1732,36.33,41.53,1794,1658,1747,657.4
,11:00,55.33,31.52,1887,672.1,1940,1788,36.75,54.85,1649,1842,1779,769
,11:10,37.62,32.11,2018,392.2,2020,1829,30.11,60.83,1192,1841,1809,830.4
,11:20,42.5,41.06,1836,1318,1856,1858,55.08,44.17,1876,1739,1841,844.2
,11:30,46.17,41.53,1574,1772,1637,1877,33.1,38.02,1867,1684,1862,906.6
,11:40,43.79,38.38,1497,1886,1995,1899,37.35,54,1705,1920,1877,705.6
,11:50,53.6,47.53,1459,1921,1587,1916,37.12,56.06,1923,1855,1879,575.1
,12:00,46.17,55.08,492.6,1615,1705,1937,71.76,62.67,1994,1896,1924,469.9
,12:10,46.82,59.04,1303,1503,1477,1791,49.58,53.5,1926,1908,1935,393.9
,12:20,54.87,58.96,767.8,1802,1673,1458,64.43,55.44,1931,1924,1941,423.4
,12:30,48.06,66.97,2072,1813,1856,1935,71.4,47.94,1934,1919,1952,400.8
,12:40,52.83,50.12,1215,1896,1889,1864,37.96,43.18,1948,1911,1967,429
,12:50,111.4,78.09,1347,1684,2211,804.5,30.31,46.82,1938,1049,1960,547.6
,13:00,309.5,636.7,759.7,222.4,1843,2093,28.96,747.6,2052,2045,1796,737.4
,13:10,461.8,394.4,825.6,1053,2199,1859,38.95,601.7,1994,1589,1754,1307
,13:20,,547.7,971,1518,1536,2250,53.38,95.68,1079,1977,2157,2011
,13:30,,181.4,1773,1802,1230,2154,42.11,61.26,1969,1952,1826,2071
,13:40,,46.8,1505,2084,2002,2094,28.07,40.6,2039,1933,1476,1115
,13:50,,55.88,1811,1886,2016,2040,20.45,30.87,1999,1809,1679,511.8
,14:00,,194.6,1196,2018,2072,2019,16.55,20.71,1612,1480,1747,717.9
,14:10,,120.6,1870,2049,2201,1818,25.45,29.37,1781,1607,1358,735.4
,14:20,,65.86,1766,900.2,2166,1510,22.49,33.15,1686,1872,653.4,1373
,14:30,,33.79,1734,1217,1600,1898,19.36,28.37,1157,1376,601.1,1848
,14:40,,23.18,1880,1514,1902,1839,17.25,59.8,1181,1227,1482,1806
,14:50,,41.38,948.1,884,1391,1770,26.6,69.39,1212,1703,1896,1849
,15:00,,159.3,925.5,876.9,1075,1711,49.49,52.86,1299,1881,1821,1820
,15:10,,82.21,1145,1115,1155,1280,43.06,32.78,1502,1713,1538,1266
,15:20,,364.7,717,1410,1661,847,76.66,29.91,1416,1441,1507,1752
,15:30,,995.8,1729,1360,1096,1777,454.8,26.45,1445,1478,1508,1745
,15:40,,631.4,1563,1571,1360,1309,1237,25.42,1494,1511,1510,1345
,15:50,,58.95,1367,1304,1317,1256,887.4,22.28,1426,1114,1429,460.6
,16:00,,53.47,1599,1472,1488,1394,247.3,18.48,1367,1303.9,1319,1383
,16:10,,28.6,1125,1261,1247,1481,121.5,16.49,1322,804.2,412.6,1257
,16:20,,12.36,1499,1449,1472,1246,77.74,20.16,981.7,800.3,342,1185
,16:30,,3.871,1355,1290,1159,1262,29.86,21.65,920.3,1055.4,336.7,875.9
,16:40,,10.78,1255,1183,1263,1147,10.22,29.27,816.24,1308.8,384.4,709.4
,16:50,,19.67,1159,1100,1097,1032,9.134,26.22,890.21,1218.6,1038,796.5
,17:00,,21.38,1072,1026,1027,1091,10.08,24.5,1006.9,1124.7,1106,489.4
,17:10,,11.63,969,964.3,978.3,1040,15.83,33.01,1142.4,1096.4,1012,474.4
,17:20,,12.39,893.5,778.9,714.1,766.4,15.9,53.53,981.6,909.8,971.3,380.7
,17:30,,8.309,624.2,520.7,666.8,521.8,33.21,45.47,876.4,811.8,813.1,244.8
,17:40,,5.264,537.4,472.9,527,564.3,23.15,28.27,674.9,622.4,466.6,229.5
,17:50,,9.982,455.6,382.5,527.8,480.8,13.86,21.08,573.9,483.3,402.8,220.7
,18:00,,15.67,464,487.5,468.1,378.1,22.09,18.21,561.7,523.5,445.2,190
,18:10,,7.706,388.4,302,344.6,369.2,9.121,17.28,495.3,485.8,367.4,151.6
,18:20,,6.06,209.4,128,182.6,264.4,5.181,17.47,375.1,390.6,338.2,138.2
,18:30,,3.322,129.6,92.82,98.02,147.8,6.704,16.08,264.9,266.3,126,102.7
,18:40,,3.506,81.9,88.3,66.62,86.04,6.371,13.5,113.11,114.27,82.6,82.36
,18:50,,2.992,69.6,82.45,66.27,50.31,4.58,13.24,92.11,84.9,79.77,63.44
,19:00,,2.801,47.47,56.43,48.62,44.11,3.888,12.14,72.11,76.7,72.3,49.95
,19:10,,1.061,25.34,20.41,10.97,7.911,1.196,1.049,12.11,18.59,14.83,16.46
,19:20,,0.4191,4.39,3.21,4.423,4.71,0.504,0.4991,4.411,4.803,3.36,2.972
