,Date ,07-8/01/2005,08-09/01/2005,09-10/01/2005,10-11/01/2005,11-12/01/2005,12-13/01/2005,13-14/01/2005,14-15/01/2005,18-19/01/2005,19-20/01/2005,20-21/01/2005
,& environment,AFS 1.2m,AFS 1.2m,AFS 2m,MO 2m,MO 1.2m,Open area 2m,Open area 2m,AFS 2m,AFS 2m,MO 1.2m,MO 2m
Hour,5:40,0.1144,0.1144,0.5815,1.093,0.4875,1.611,1.699,0.1144,0.1144,0.1144,0.1144
,5:50,0.1144,0.1144,0.785,5.135,3.119,7.25,7.689,0.5144,0.419,0.5275,0.352
,6:00,0.1144,0.276,0.9535,7.34,5.075,9.922,9.672,0.728,1.002,0.951,1.274
,6:10,0.8725,0.853,1.1045,13.455,10.405,14.45,10.34,1.336,1.585,1.372,2.196
,6:20,1.6495,1.43,1.2955,54.25,20.7025,45.8,50.35,2.111,2.168,2.795,3.118
,6:30,3.7335,2.693,3.6135,144.725,54.625,189.35,194.575,2.6355,2.536,4.7825,8.432
,6:40,10.74,5.78,6.68,348.5,119.075,413.25,449.5,7.165,3.315,12.36,13.746
,6:50,18.095,11.735,11.445,480,204.875,524.5,542.75,15.505,3.491,19.9375,21.06
,7:00,15.98,16.015,11.125,521,307,577.5,569.5,22.45,4.656,35.325,37.64
,7:10,21.075,27.4,11.395,539,344.25,619.25,599.75,36.05,6.044,53.575,43.25
,7:20,49.065,47.35,7.315,559,378.25,626.25,617,50.55,10.27,77,50.95
,7:30,49.98,32.29,10.62,564,388.5,624.5,622.75,41.64,9.228,100.5,58.79
,7:40,31.84,32.29,18.07,554.25,399.25,637.5,624,47.18,10.47,106.05,145.9
,7:50,42.31,32.535,28.75,542.5,408.75,639.75,620.5,66.15,11.52,103.95,66.93
,8:00,34.61,41.335,41.435,559.5,412.25,640.5,635.5,54.1,13.64,150.7,70.75
,8:10,41,52.7,42.335,576.25,411.25,642.5,645.75,58.3,18.18,144.35,81.39
,8:20,39.13,48.21,33.13,583.5,414.5,648.5,647,57.05,22.6,139.175,81.6
,8:30,53.85,46.59,49.98,606.5,415,642.5,649.25,68.8,26.07,202.875,337.9
,8:40,47.005,42.97,60.6,613.75,420,650.25,651.5,77.55,26.58,313,578.1
,8:50,40.83,43.345,59.6,542.25,420,665.75,656,87.5,28.02,314.25,183.4
,9:00,41.59,44.28,72.75,615.25,418,664.75,670.5,72.75,29.46,324.75,544.3
,9:10,42.715,45.145,81.4,589,420.25,669.25,680,71.7,30.35,635.75,345.7
,9:20,43.69,46.515,57.7,551.25,425.5,671.25,678,82.6,40.51,418,210.1
,9:30,45.47,48.005,45.89,575.25,426.25,679,683,79.7,52.55,354.75,105.9
,9:40,51.6,49.905,32.91,575.25,431,687,688.5,73.35,40.85,408.75,117.3
,9:50,53.2,52.5,27.605,572.5,435.5,696.5,697.75,76.7,37.85,443.75,107
,10:00,54.55,55.3,44.79,607.5,444.25,695.5,700,112.3,33.57,493.5,276.7
,10:10,56.95,57.35,70.1,631.25,449,708.75,701.5,116.6,99.12,469.75,649.6
,10:20,54.45,59.35,71.55,697,450.5,718,1047,98.15,51.34,417.5,711.75
,10:30,54.65,65.4,43.95,694.25,451,734.75,1573,88.1,57.72,390.5,728.25
,10:40,61.05,70.4,38.895,684.75,450,744.25,1628,87.55,52.11,468.5,737.5
,10:50,60.65,70.1,54.15,695.25,472.5,746.25,1676,88.8,50.12,366.25,753
,11:00,65.85,70.05,62.15,692,540.25,751.5,1726,96.5,81.1,395.5,761
,11:10,67.15,71.85,60.7,638.75,625.5,1044.5,1777,90.75,191.1,845,501.25
,11:20,59.85,67.7,78.1,398,679.75,1825,1937.5,71,33.38,773.25,720.5
,11:30,66.85,77.2,85.7,630.5,618.5,1020.5,1777,74.55,36.47,723.25,807.75
,11:40,69,75.7,83.55,655.5,596.25,752.5,1732,76.05,33.71,674.75,810.75
,11:50,76.4,79,86.5,615.75,559.5,771.5,1401,70.15,34.9,522,816.25
,12:00,77.9,86.05,86.8,652.5,567.75,772.5,1024,71.25,25.53,464.75,823.25
,12:10,79,89.6,91.55,661.75,562,788,848.5,74.65,32.62,573,592.5
,12:20,65.65,92.05,89.7,646.5,555.75,796,799.25,79.25,37.31,365,636.5
,12:30,73.2,86.9,95.15,597.5,570.25,818.5,891.25,77.1,47.18,416.1,502.5
,12:40,82.45,86.15,93.05,653.25,551.75,842,891.25,89.45,42.98,391.7,414.5
,12:50,83.2,92.7,92.55,576.5,539.5,847,882.5,81.95,30.94,208.7,367.75
,13:00,84.55,104.65,93.35,538.75,545.75,860.5,909.5,103.45,33.8,199.5,492.75
,13:10,90.05,87.4,98,621,538,863.75,935.25,99.2,38.53,161.2,318.5
,13:20,92.15,101.75,102.3,619.25,563,874,910,98.6,42.44,129.9,249.4
,13:30,87.45,92.25,103.55,640.25,554,880.75,960.5,85.1,67.81,174.2,367.25
,13:40,117.1,94,94.8,664.25,566.75,884.75,941.75,91.6,49.8,277.25,738.7
,13:50,93.5,101.6,78.45,687.25,562.5,885.5,948,84.1,34.92,351.5,390.3
,14:00,78.7,89.45,82,651.25,563,900.25,916.75,84.85,46.18,394,370.4
,14:10,47.29,82.95,84.6,638.5,606.5,916.75,936.25,98.15,49.6,453.5,678.4
,14:20,53.35,95.35,90.25,689.75,587,930.25,1810,95.95,52.01,392,848.75
,14:30,88,109.75,93.25,684.5,552,925.75,1950,96.05,50.46,316.75,955.25
,14:40,106.15,118.95,97.1,678,546,908.5,1942,111.5,51.08,263.25,892.5
,14:50,96.95,110.95,99.05,679,559.75,1020,1919,111.45,147.6,863,930
,15:00,79.25,98.4,100.35,660.5,641.25,749,1892,98.7,361.3,875,882.5
,15:10,100,99.65,101.15,594.5,684,1531.25,1854,113,66.36,956.75,935.75
,15:20,96.6,90.05,104.3,715.5,747.25,917.75,1816,112.05,40.8,422.5,934
,15:30,98.55,63.8,106.65,655.25,774.5,920,1768,100.3,134.1,219.25,945.75
,15:40,90.2,65.35,101.75,687.5,769.5,891.5,1729,89.2,87.74,258.5,921.5
,15:50,109.05,55.05,97.8,688.5,606.75,954,1520,90.5,73.3,307.75,896.5
,16:00,123,63.6,98.65,693.25,787.75,940.75,1449,141.95,105,250,894
,16:10,132.25,107.05,93.1,703.25,806.5,1319,1507,152.2,485.9,919.75,887.75
,16:20,115.85,98.45,77.2,739.75,557.5,944.5,866.9,133.45,234.75,892.5,872.5
,16:30,113.35,83.2,39.19,738.25,533.75,964,1454,108.8,366,601.4,881.5
,16:40,75.7,83.95,25.385,649,739,940,1406,90.95,43.86,509,951
,16:50,82.25,88.55,28.15,652,480.75,917.5,1340,95.85,34.31,401.5,894.25
,17:00,67.75,92.3,38.63,732.75,408,878,1270,83.3,25.66,346.25,876.5
,17:10,69.3,92.6,76.5,650.75,385.5,921,1209,98.4,42,163.275,868.5
,17:20,78.9,77.35,78.8,523.5,462.75,914.5,1140,88.7,40.21,358.25,860
,17:30,52.6,69.45,90.55,753.5,415.125,1068,1923.25,86,29.66,851.75,849.75
,17:40,39.71,48.03,85.05,763,407.475,980.7,2003.5,94.05,22.31,820,852.75
,17:50,28.935,46.57,85.4,721.75,399.825,879.4,2018.5,89.55,24.38,808.75,834.25
,18:00,29.46,42.94,80.8,663.25,392.175,753.75,1718.25,71.35,25.13,676.3,814.5
,18:10,21.4,33.715,77.6,675.25,384.525,827.5,805.25,61.8,17.14,417.25,595.6
,18:20,15.34,28.22,69.51,500.58,206.875,515.41,558.91,46.48,16.08,216.58,448.38
,18:30,10.28,21.7925,61.42,413.91,169.225,424.785,448.3,38.601,15.35,117.201,401.37
,18:40,4.558,15.365,53.33,283.24,131.575,244.158,204.38,31.722,12.735,97.82,283.84
,18:50,3.561,8.9375,45.24,152.57,93.925,163.531,160.34,24.84,10.12,78.439,225.44
,19:00,2.564,2.51,17.15,92.459,56.275,82.904,96.3,14.964,7.505,39.058,22.68
,19:10,1.567,0.9175,5.182,22.348,18.625,24.27,22.26,5.084,4.89,19.677,20.51
,19:20,0.57,0.1144,1.56,4.763,1.525,4.835,5.22,1.794,2.275,2.29,2.44
