,Date ,12-13/03/2004,13-14/03/2004,14-15/03/2004,15-16/03/2004,16-17/03/2004,17-18/03/2004,18-19/03/2004,19-20/03/2004,20-21/03/2004
,& environment,MO 2m,MO 1.2m,Open area 2m,Open area 2m,Open area 2m,MO 2m,MO 1.2m,AFS 2m,AFS 1.2m
Hour,5:50,0.81,0.36,2.92,3.57,2.98,1.04,0.42,0.12,0.12
,6:00,4.86,2.75,11.08,12.21,10.77,4.12,2.81,0.47,1.32
,6:10,9.83,3.85,22.23,16.84,16.55,8.37,5.81,1.07,3.24
,6:20,23.38,4.61,42.61,38.07,35.67,52.62,21.25,1.76,5.74
,6:30,40.60,6.74,93.47,92.78,55.87,97.82,35.36,2.06,5.97
,6:40,52.32,9.81,210.30,252.80,118.10,141.60,48.47,2.94,9.59
,6:50,65.33,16.50,304.10,321.90,128.50,169.20,64.88,4.02,12.71
,7:00,102.48,20.64,372.40,389.80,146.90,174.90,72.80,6.72,14.12
,7:10,103.50,23.51,438.90,456.80,248.20,158.60,78.64,12.25,15.96
,7:20,114.30,22.76,506.70,521.60,354.50,131.60,85.17,10.28,17.84
,7:30,139.50,25.09,573.00,584.60,560.60,126.00,96.65,12.69,21.24
,7:40,180.30,35.46,645.80,649.60,570.80,143.50,113.90,12.33,24.49
,7:50,251.40,40.97,718.30,716.70,475.60,278.40,116.20,15.45,24.27
,8:00,242.70,40.26,788.20,781.80,709.90,300.90,307.90,28.38,58.54
,8:10,210.60,55.31,871.40,847.30,538.40,182.90,307.80,29.85,51.27
,8:20,239.50,75.58,948.50,911.80,881.10,142.50,235.40,27.66,38.31
,8:30,378.70,111.40,1008.00,980.20,998.40,139.50,229.10,29.44,36.51
,8:40,279.00,120.40,1094.00,1057.00,1051.00,589.50,553.40,39.63,43.68
,8:50,210.10,100.80,1050.00,1145.00,909.00,629.10,573.40,39.80,47.50
,9:00,206.90,161.90,1141.00,1175.00,1134.00,650.50,491.50,46.82,38.72
,9:10,214.80,202.40,1269.00,1257.00,1253.00,1109.00,771.70,60.83,42.81
,9:20,216.80,250.80,1336.00,1312.00,1324.00,1219.00,924.20,63.02,41.38
,9:30,255.70,261.10,1506.00,1325.00,1353.00,1270.00,1035.00,41.17,42.85
,9:40,280.00,202.90,1470.00,1424.00,1105.00,1320.00,999.70,47.73,44.42
,9:50,344.50,158.10,1597.00,1482.00,1530.00,1370.00,714.70,63.23,46.26
,10:00,386.60,131.40,1586.00,1531.00,1551.00,1407.00,1189.00,99.54,47.39
,10:10,446.10,178.20,1416.00,1569.00,1443.00,1446.00,1914.00,49.70,53.02
,10:20,458.00,324.90,319.90,1604.00,1283.00,1553.00,829.20,59.79,50.68
,10:30,480.40,349.80,1228.00,1639.00,640.50,1482.00,808.20,66.96,53.75
,10:40,493.00,361.50,1141.00,1665.00,1599.00,1612.00,738.30,62.68,54.58
,10:50,625.20,212.70,1295.00,1699.00,979.90,1613.00,628.50,67.96,60.30
,11:00,638.10,439.50,1269.00,1720.00,1573.00,1646.00,511.20,77.16,63.02
,11:10,545.40,497.10,677.50,1743.00,1766.00,1639.00,431.60,85.36,58.63
,11:20,446.00,424.00,1865.00,1761.00,1599.00,1737.00,436.10,72.13,70.07
,11:30,458.20,447.00,1917.00,1791.00,1896.00,1122.00,348.90,85.04,43.91
,11:40,569.80,588.30,919.00,1818.00,2019.00,1375.00,324.70,99.62,65.17
,11:50,655.80,535.40,1292.00,1805.00,1714.00,1364.00,304.30,74.41,75.38
,12:00,784.70,468.10,1322.00,1580.00,668.50,1721.00,345.00,55.14,73.93
,12:10,820.70,454.90,1340.00,1825.00,971.80,1575.00,307.60,45.47,74.96
,12:20,549.00,389.40,1470.00,1847.00,409.10,1641.00,310.40,74.90,78.62
,12:30,548.80,349.70,490.80,1763.00,629.80,1167.00,345.80,85.20,78.90
,12:40,614.10,345.10,858.50,1826.00,1785.00,1502.00,338.20,213.90,80.50
,12:50,621.30,314.30,873.30,1486.00,1877.00,479.20,429.20,83.60,83.50
,13:00,937.90,489.00,1546.00,1176.00,1609.00,1376.00,535.80,85.90,87.84
,13:10,1136.00,514.60,1152.00,1033.40,1321.00,1063.00,746.20,98.46,71.89
,13:20,973.30,581.10,1028.30,1875.00,1500.50,1224.00,980.50,70.96,64.17
,13:30,1898.00,735.60,1033.00,1722.00,1784.00,1103.00,1011.00,75.58,81.80
,13:40,1354.00,336.00,1201.00,1486.00,1718.00,1700.00,1610.00,79.26,53.42
,13:50,1051.00,455.70,1270.00,1754.00,1645.00,1593.00,449.30,56.80,49.37
,14:00,982.90,259.60,1080.00,1757.00,1615.00,1518.00,1302.00,64.70,52.71
,14:10,1097.00,307.80,1248.00,749.30,1634.00,1268.00,797.70,69.17,55.03
,14:20,670.30,331.50,1320.00,1103.00,1695.00,1519.00,1023.00,69.10,65.73
,14:30,1078.00,327.10,1099.00,978.60,673.00,834.40,906.60,65.17,75.38
,14:40,813.00,251.50,876.20,877.40,570.00,1074.00,528.00,63.08,65.98
,14:50,823.00,268.50,1321.00,1409.00,425.20,344.60,576.80,55.78,76.02
,15:00,477.00,249.50,1350.00,577.20,231.00,249.20,523.10,63.34,70.77
,15:10,336.40,203.60,1160.00,1086.00,568.00,321.70,656.40,54.76,45.25
,15:20,228.50,155.50,407.70,1021.00,1056.00,907.00,529.90,81.80,46.51
,15:30,122.60,77.08,333.10,1003.00,1048.00,1021.00,439.40,59.57,46.06
,15:40,116.90,79.32,510.40,890.90,882.40,957.60,464.20,59.66,80.35
,15:50,219.40,52.06,779.90,934.30,878.20,880.60,262.10,42.11,110.30
,16:00,341.40,103.50,779.10,470.80,818.20,714.20,231.70,39.46,66.88
,16:10,328.40,116.50,619.40,652.50,651.00,640.20,237.20,47.68,23.49
,16:20,380.00,210.60,420.20,600.20,407.60,514.40,126.50,46.41,37.32
,16:30,197.70,107.30,330.40,450.50,200.50,409.20,167.40,41.49,31.48
,16:40,114.70,62.23,241.50,207.20,203.40,122.50,220.60,39.52,17.51
,16:50,119.00,51.10,183.30,181.80,187.20,77.20,223.20,23.22,13.36
,17:00,108.90,36.82,135.31,135.12,131.50,74.70,157.50,18.38,9.50
,17:10,102.40,58.96,98.60,126.75,109.24,65.60,63.75,8.54,8.66
,17:20,99.17,62.09,90.91,98.41,89.00,52.58,55.21,7.31,9.46
,17:30,59.27,38.07,83.07,70.07,63.91,48.36,38.22,4.78,2.95
,17:40,29.63,30.92,67.57,41.73,38.31,28.27,16.87,2.47,2.07
,17:50,24.95,23.79,29.80,33.39,32.72,19.36,14.47,1.14,1.08
,18:00,20.79,12.36,24.04,25.05,22.79,21.04,8.56,0.84,0.42
,18:10,10.63,2.14,11.73,13.71,11.80,9.42,6.44,0.11,0.11
,18:20,2.04,0.80,3.50,4.37,4.39,2.85,1.06,0.11,0.11
