,Date ,05-06/05/2004,06-07/05/2004,07-08/05/2004,08-09/05/2004,09-10/05/2004,11-12/05/2004,12-13/05/2004,13-14/05/2004,14-15/05/2004,15-16/05/2004,16-17/05/2004,17-18/05/2004,19-20/05/2004,18-19/05/2004,20-21/05/2004,21-22/05/2004,22-23/05/2004,23-24/05/2004
,& environment,AFS 2m,AFS 1.2m,MO 1.2m,MO 2m,Open area 2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m
Hour,7:20,0.91,0.85,0.73,1.51,1.37,1.87,0.13,0.16,2.00,0.45,0.58,1.44,0.07,0.06192,0.005326,0.02929,0.01874,0.02343
,7:30,0.97,0.88,3.05,3.56,4.55,5.90,0.39,0.23,5.13,2.24,3.17,4.56,0.08,0.06804,0.08228,0.3204,0.195,0.2408
,7:40,1.16,0.95,11.12,8.21,12.15,9.40,0.76,0.28,14.67,8.98,7.67,11.96,0.11,0.08731,2.24,0.7601,1.522,1.806
,7:50,1.62,1.04,17.59,19.82,19.88,11.37,2.07,0.34,28.60,18.29,18.98,23.35,0.22,0.1658,8,3.327,5.914,7.818
,8:00,2.56,1.24,24.95,22.79,29.50,14.97,4.63,0.37,44.31,46.88,27.28,34.44,0.617,0.2637,17.13,4.834,13.05,16.86
,8:10,3.55,1.55,27.54,25.57,44.81,29.50,5.33,0.74,64.29,53.14,33.99,54.44,1.493,0.3575,26.67,7.991,20.61,26.49
,8:20,4.88,1.83,26.34,32.70,164.80,140.88,7.80,1.55,80.51,70.61,39.56,118.60,2.811,0.7836,35.51,20.38,27.11,35.25
,8:30,5.89,2.50,25.09,33.38,202.90,150.08,9.50,1.54,90.91,79.84,44.30,198.50,2.523,1.537,75.08,55.5,32.6,41.76
,8:40,6.47,3.53,18.92,46.05,215.50,152.32,8.13,2.39,103.90,123.50,55.11,317.45,3.962,2.509,85.06,67.22,36.97,47.52
