,Date ,05-06/05/2005,06-07/05/2005,07-08/05/2005,08-09/05/2005,09-10/05/2005,10-11/05/2005,11-12/05/2005,12-13/05/2005,15-16/05/2005,16-17/05/2005
,& environment,MO 2m,MO 2m,MO 1.2m,MO 1.2m,AFS 2m,AFS 2m,AFS 1.2m,AFS 1.2m,Open area 2m,Open area 2m
Hour,7:20,0.556,0.3996,0.1774,0.4706,0.2989,0.3603,0.1845,0.3565,0.381,0.9317
,7:30,3.441,0.5157,0.4609,1.201,0.9453,0.7054,0.4856,0.9128,0.6428,3.614
,7:40,7.213,1.056,0.9807,3.681,1.986,1.666,1.402,2.048,2.373,10.41
,7:50,14.83,2.656,1.591,5.565,3.473,3.739,2.039,3.136,3.994,23.1
,8:00,22.99,3.781,2.511,6.625,6.783,5.936,3.708,4.301,9.932,28.31
,8:10,35.27,6.217,4.673,12.64,13.39,7.809,6.359,5.121,17.38,39.84
,8:20,47.41,5.768,7.167,18.06,9.738,9.511,7.559,5.907,29.16,73.89
,8:30,55.98,9.562,10.65,25.58,10.99,12.54,10.51,6.62,40.47,103.5
,8:40,63.12,12.25,15.39,33.23,10.98,15.39,13.37,7.32,46.48,145.1
,8:50,69.57,16.4,16.27,28.24,12,14.57,15.2,7.952,78.26,107.9
,9:00,87.19,20.44,19.81,28.26,14.7,16.51,15.22,8.586,94.7,111.5
,9:10,104.1,40.5,20.71,28.86,13.48,21.2,17.29,10.88,123.2,129.8
,9:20,118.1,55.51,23.62,27.26,29.38,21.88,26.91,14.83,139.7,195.8
,9:30,130.2,60.63,34.41,31.56,33.57,19.51,26.38,14.25,150.5,227.1
,9:40,158.3,60.24,30.82,56.72,23.57,51.19,30.87,24.85,166.3,224.3
,9:50,171.1,52.77,22.42,55.15,31.39,79.6,44.4,28.72,146.5,221.3
,10:00,184.4,46.78,17.93,56.04,51.54,64.16,148.7,56.17,130.5,217.9
,10:10,179.8,45.07,20.62,55.53,47.89,49.25,165.2,50.69,115,250.9
,10:20,202.9,51.17,43.28,39.67,44.53,44.54,112.4,24.59,150.5,259.1
,10:30,233.5,63.95,51.4,31.95,47.28,83.27,62.9,44.58,195.3,238
,10:40,280.8,65.82,43.87,33.59,51.19,124,36.28,12.64,249.9,375.2
,10:50,259.1,69.82,40.1,43.62,26.3,39.91,30.57,13.05,254.9,387.3
,11:00,229.9,78.91,44.9,50.73,23,28.03,27.98,12.15,263.7,402.8
,11:10,212.3,92.26,48.86,56.59,16.14,36.21,25.84,14.7,210.9,507.1
,11:20,218.4,93.06,54.59,66.26,23.57,47.62,35.25,36.1,235.5,497.6
,11:30,235.3,104,50.34,67.21,25.84,55.66,41.08,17.55,308,889.1
,11:40,239.3,108.8,40.19,78.6,35.28,56.99,43.58,12.57,274.7,1117
,11:50,237,59.31,48.29,138.6,51.55,60.89,69.42,37.43,215.4,940.5
,12:00,510.7,236.9,48.03,57.72,54.27,51.92,42.66,90.34,614.8,243.4
,12:10,79.59,237.9,46.4,71.61,66.7,67.62,45.47,91.93,697.5,230.9
,12:20,375.3,266,49.22,87.22,72.94,76.05,32,108.8,669.6,173.1
,12:30,283.2,265.1,53.2,91.66,73.45,90.18,18.23,92.39,655.6,160.7
,12:40,109.2,271.1,54.85,93.49,91.39,165.2,12.47,108.4,741.5,196.3
,12:50,105.63,247.6,74.66,87.46,97.38,306,7.289,59.03,1144,217.5
,13:00,106.32,247.6,58.66,77.07,66.11,79.5,8.028,63.3,1021,248
,13:10,108.38,255.7,40.93,64.13,71.15,53.06,14.91,109,1082,290.9
,13:20,157.5,249.2,35.11,53.9,52.16,86.43,22.06,59.17,995.7,205.1
,13:30,154.1,266.6,41.9,61.31,52.04,48.38,31.98,54.86,800.6,191.6
,13:40,155.1,252.9,48.11,65.38,45.42,26.54,22.42,53.12,1136,205.8
,13:50,179.3,304.8,39.98,61.96,43.38,18.87,4.162,51.92,1003,266.7
,14:00,128.3,239.5,48.42,66.76,42.68,31.73,2.363,54.34,1043,259.4
,14:10,151.9,206.7,48.62,72.32,38.87,25.33,3.659,46.32,715.6,291.7
,14:20,155.14,192.6,55.62,74.54,55.46,124.7,15.21,40.94,551.4,222.6
,14:30,89.66,215.5,50.42,78.15,56.53,90.66,30.33,38.73,476.6,251.8
,14:40,151.32,176.6,45.83,72.88,37.28,22.38,30.62,36.51,363.4,178.9
,14:50,150.9,195.4,33.14,65.78,37.7,112.9,24.55,34.42,439.2,220.5
,15:00,150.46,187.6,33.66,52.61,37.75,92.46,19.07,34.16,418.5,160.9
,15:10,150.56,221.3,30.51,56.53,27.16,16.42,9.832,39.16,349.5,150
,15:20,160.6,227.7,25.45,58.27,38.75,13.72,8.198,43.86,347.2,159.8
,15:30,155.2,153.3,23.27,49.55,45.41,15,11.44,38.1,350.5,236
,15:40,362.5,161.2,34.99,36.16,40.01,13.8,18.97,31.47,340.3,259.1
,15:50,342.3,151.2,38.49,23.78,30.86,23.34,4.089,24.1,306,283.6
,16:00,228.9,224.6,23.82,28.22,29.17,22.96,2.384,17.99,253.5,218.8
,16:10,216.9,130.9,24.92,34.74,17,15.59,1.88,22.93,234.6,159.7
,16:20,54.21,105.5,23.37,18.73,13.81,12.65,1.102,21.87,227.1,107.7
,16:30,56.01,123.1,22.01,10.93,16.33,13.52,0.8468,19.85,203.4,98.72
,16:40,45.5,101.5,28.27,8.866,11.59,13.1,1.232,21.03,176.1,109.5
,16:50,42.78,82.98,25.13,7.561,4.147,30.6,2.134,20.49,142.3,158
,17:00,38.33,68.14,12.79,7.524,3.273,8.774,4.323,12.06,115.1,213.6
,17:10,36.22,53.44,10.65,6.226,5.402,8.138,5.692,11.39,87.39,217.5
,17:20,34.34,34.91,9.39,4.451,1.366,7.483,3.38,13.24,76.11,129.8
,17:30,31.76,27.95,9.734,4.307,0.5759,7.548,2.764,10.49,68.93,98.72
,17:40,28.77,23.09,4.506,3.688,0.5675,6.626,0.56,5.924,51.43,51.36
,17:50,24.64,17.19,3.246,2.53,0.3969,5.291,0.2665,3.586,34.48,32.08
,18:00,19.44,9.289,2.897,1.304,0.2381,3.529,0.3632,2.156,19.5,15.86
,18:10,7.35,4.623,1.856,0.6059,0.1952,1.902,0.2002,1.507,8.91,6.306
,18:20,2.759,1.498,0.6088,0.1988,0.1424,0.7717,0.1427,0.6575,2.845,2.913
