,Date ,24-25/11/2003,24-25/11/2003,25-26/11/2003,25-26/11/2003,27-28/11/2003,27-28/11/2003,28-29/11/2003,28-29/11/2003,29-30/11/2003,29-30/11/2003
,& environment,AFS 1.2m,AFS 2m,AFS 2m,AFS 1.2m,MO 2m,MO 1.2m,MO 2m,MO 1.2m,Open area 2m,Open area 2m
Hour,5:30,0.12,2.366,1.144,0.12,4.847,3.79,4.951,2.61,5.241,5.67
,5:40,1.67,4.202,2.715,0.99,12.31,8.47,12.331,11.81,14.24,13.74
,5:50,3.73,6.038,3.957,1.76,26.3,12.15,24.821,20.32,29.39,33.15
,6:00,5.11,8.008,4.566,2.54,60.3,58.97,51.92,44.46,79.02,71.24
,6:10,6.55,9.442,7.533,5.26,94.3,53.23,76.2,66.01,152.5,122.20
,6:20,8.48,11.68,9.963,7.59,167.4,36.33,104.7,91.17,100.2,153.10
,6:30,9.72,13.04,12.21,9.62,196.7,34.24,143.8,126.80,179.6,229.00
,6:40,11.81,15.32,14.28,11.51,354.1,26.97,197.1,172.70,388.1,340.60
,6:50,17.00,22.39,17.7,14.64,472,24.22,200,180.40,463.7,412.00
,7:00,17.62,22.12,20.92,17.52,576.5,39.38,179,158.50,209.7,429.60
,7:10,22.25,29.53,27.46,24.07,661.8,25.87,230.8,196.40,537.8,173.10
,7:20,19.24,23.7,28.79,24.97,736.2,21.82,516.5,446.90,702.9,451.70
,7:30,11.75,15.36,32.3,27.99,791.7,12.85,509.9,719.50,791.4,653.20
,7:40,16.65,21.14,33.04,28.69,886.2,13.13,470,489.00,723.7,759.20
,7:50,18.22,23.21,32.05,28.02,977.7,17.09,825.4,678.90,853,548.00
,8:00,27.34,33.07,29.53,25.64,1064,25.97,1026,780.30,1024,546.00
,8:10,25.20,30.13,29.74,26.31,1137,37.64,988.4,878.90,1116,894.70
,8:20,35.56,42.56,28.97,25.07,1208,40.05,1123,1005.00,1196,1048.00
,8:30,54.59,48.86,38.98,34.23,1275,616.00,1233,1105.00,1272,1143.00
,8:40,39.83,46.28,42.27,37.57,1347,1164.00,1197,1078.00,1346,1211.00
,8:50,42.13,48.19,44.46,38.92,1416,574.00,1389,1245.00,1418,1276.00
,9:00,44.11,49.34,50.2,43.97,1487,773.00,1383,1247.00,1486,1338.00
,9:10,47.32,50.39,54.82,47.41,1549,939.80,1445,1300.00,1553,1399.00
,9:20,59.78,53.61,51.36,44.93,1615,960.60,1424,1282.00,1616,1457.00
,9:30,74.28,61.92,53.28,45.84,1675,995.10,1530,1373.00,1676,1511.00
,9:40,66.42,67.31,60.33,52.58,1732,1046.00,1651,1488.00,1732,1563.00
,9:50,55.74,63.42,50.74,46.00,1787,909.70,1711,1542.00,1787,1613.00
,10:00,53.11,60.08,40.62,36.06,1837,1167.00,1787,1610.00,1837,1660.00
