,Date ,19-20/05/2004,20-21/05/2004,22-23/05/2004,23-24/05/2004,21-22/05/2004,24-25/05/2004,26-27/05/2004,27-28/05/2004,28-29/05/2004,29-30/05/2004,30-31/05/2004,31/05-01/06/2004,02-03/06/2004,01-02/06/2004,03-04/06/2004,04-05/06/2004,05-06/06/2004,06-07/06/2004
,& environment,AFS 1.2m,AFS 2m,MO 1.2m,MO 2m,Open area 2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m,AFS 1.2m,AFS 2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m
Hour,7:20,0.17111,0.17182,0.13662,0.23512,0.58682,0.18503,0.22057,0.12481,0.51724,0.24124,0.22635,0.51624,0.19780,0.13481,0.53174,0.49813,0.44713,0.51095
,7:30,0.45613,0.38060,0.71653,0.73879,0.90426,0.81531,0.49977,0.40957,0.73346,0.66677,0.65220,0.67993,0.34708,0.30348,0.77412,0.48542,0.68173,0.70918
,7:40,0.64448,0.61506,1.01049,0.95918,1.09640,1.18005,0.68856,0.58643,0.92591,0.94693,0.67959,0.85170,0.59564,0.55302,0.93819,0.68755,0.86805,0.87669
,7:50,0.75510,0.73269,1.00602,0.94017,1.04779,1.18722,0.68509,0.51967,1.10450,1.03007,0.89714,1.10019,0.73118,0.58128,1.14540,0.93279,1.05122,1.07157
,8:00,0.77523,0.67134,1.04503,0.99386,1.01602,1.15519,0.75401,0.46609,1.17691,0.97515,0.90075,1.15722,0.77160,0.62364,1.17628,0.93207,1.10728,1.20293
,8:10,0.76207,0.67520,1.08568,1.02832,1.05670,1.12549,0.72763,0.44637,1.18722,0.99272,0.93731,1.17273,0.65181,0.64178,1.19226,0.97312,1.10471,1.19734
,8:20,0.76448,0.71766,1.06695,1.06387,1.07297,1.10894,0.87831,0.42556,1.16660,1.00760,0.96564,1.19455,0.67399,0.67086,1.16676,0.98974,1.08803,1.15340
,8:30,0.76835,0.69938,1.10338,1.08115,1.06800,1.12735,0.73405,0.40281,1.18948,1.02867,0.98638,1.19285,0.68891,0.65753,1.19344,1.00000,1.03341,1.18850
,8:40,0.77982,0.58112,1.14208,1.10061,1.07545,1.16569,0.75927,0.38017,1.03272,1.03366,1.00112,1.07427,0.72278,0.57962,1.05823,1.00400,0.96231,1.18351
,8:50,0.77235,0.54859,1.16667,1.11732,1.11166,1.13297,0.65908,0.36599,1.04320,1.06385,1.01660,1.07591,0.74159,0.58578,1.05035,1.02734,0.94674,1.09453
,9:00,0.76665,0.63182,1.18144,1.15551,1.08809,1.16539,0.61038,0.42839,1.04950,1.07924,1.02347,1.08720,0.75128,0.60796,1.05798,1.04757,0.96042,1.03400
,9:10,0.76779,0.67196,1.15995,1.16268,1.09121,1.16175,0.68177,0.48002,1.05458,1.07538,1.02909,1.08220,0.69600,0.66681,1.06362,1.05459,0.96280,1.09790
,9:20,0.76711,0.69463,1.17849,1.16780,1.09244,1.20147,0.63945,0.75092,1.05852,1.07238,1.03588,1.09492,0.63928,0.67395,1.06853,1.05552,0.90546,1.10023
,9:30,0.77489,0.68760,1.18296,1.18493,1.09404,1.18973,0.67526,0.49055,1.06026,1.07276,1.04345,1.09110,0.61436,0.71507,1.07198,1.05872,0.99164,1.10427
,9:40,0.77830,0.78373,1.17981,1.17837,1.09815,1.12016,0.74144,0.75775,1.06256,1.09355,1.04901,1.08787,0.71685,0.74039,1.07426,1.06048,0.98727,1.10646
,9:50,0.77762,0.96673,1.18499,1.15264,1.09943,1.15671,0.87938,0.96278,1.06319,1.09629,1.05216,1.08869,1.02306,0.86932,1.08472,1.07143,1.01114,1.10903
,10:00,0.77284,0.99476,1.18227,1.14227,1.09951,1.17129,0.98748,0.98015,1.06216,1.09614,1.05296,1.09183,1.01203,0.95342,1.09464,1.07870,1.01876,1.11028
,10:10,0.76675,0.95512,1.17170,1.13593,1.09875,1.15004,0.95268,0.95471,1.06111,1.09714,1.05848,1.08408,0.96410,0.79251,1.10051,1.07526,1.01702,1.11262
,10:20,0.76466,0.85195,1.19074,1.14063,1.09829,1.13021,0.71363,0.28042,1.06076,1.09452,1.06865,1.09350,0.74408,0.75991,1.08761,1.07532,1.01962,1.11427
,10:30,0.76437,0.73843,1.17611,1.15337,1.09684,1.16086,0.52859,0.23265,1.06163,1.08404,1.06895,1.12104,0.71670,0.77619,1.09092,1.07775,1.02387,1.11757
,10:40,0.76188,0.73340,1.17958,1.15755,1.09611,1.13312,0.47928,0.25783,1.06225,1.09064,1.07448,1.10645,0.66312,0.78833,1.09629,1.07924,1.03082,1.14303
,10:50,0.76169,0.70385,1.17883,1.15925,1.10079,1.19752,0.33646,0.24979,1.06263,1.09096,1.06088,1.10399,0.54984,0.77629,1.09805,1.07845,1.03708,1.12220
,11:00,0.75804,0.74193,1.16853,1.17551,1.13493,1.20420,0.51579,0.21496,1.06334,1.08625,1.05420,1.10963,0.33688,0.76846,1.09725,1.07832,1.04213,1.12035
,11:10,0.75258,0.73484,1.16140,1.20161,1.09759,1.16265,0.61612,0.21061,1.06379,1.09912,1.04549,1.10991,0.30312,0.75226,1.09960,1.08097,0.96697,1.11846
,11:20,0.73930,0.75938,1.15687,1.20322,1.11813,1.18253,0.53876,0.21076,1.06374,1.09704,1.03985,1.10804,0.36539,0.75090,1.09740,1.08252,0.97970,1.11676
,11:30,0.72595,0.77837,1.16018,1.20267,1.09709,1.19734,0.59026,0.21573,1.06226,1.09718,1.04355,1.10591,0.35212,0.76236,1.09945,1.08395,1.01939,1.11395
,11:40,0.69987,0.79613,1.16085,1.20172,1.09800,1.16149,0.58166,0.23602,1.06167,1.10104,1.04313,1.09808,0.49495,0.75815,1.10127,1.08649,0.96029,1.12232
,11:50,0.80346,0.78214,1.15027,1.18714,1.09777,1.27550,0.74572,0.42544,1.06122,1.10790,1.03942,1.08231,0.64989,0.71960,1.10061,1.08483,0.92955,1.11347
,12:00,0.70155,0.77783,1.14839,1.16837,1.09654,1.12112,0.58216,0.26710,1.08056,1.12242,1.03571,1.12661,0.67659,0.64706,1.10000,1.08342,1.01786,1.12854
,12:10,0.95764,0.79449,1.15355,1.16469,1.09292,1.16524,0.88405,0.62702,1.10037,1.11032,1.03456,1.12853,0.62552,0.90120,1.10020,1.08218,1.04228,1.13049
,12:20,0.92373,0.80100,1.16348,1.16287,1.12308,1.13348,1.01671,0.76667,1.06090,1.11081,0.97339,1.08571,0.60595,0.90608,1.10086,1.08098,0.99476,1.17946
,12:30,0.77615,0.77171,1.16014,1.16921,1.09419,1.13846,0.90245,0.57268,1.06021,1.11953,1.05712,1.08927,0.63284,0.93570,1.10019,1.07887,0.98065,1.15584
,12:40,0.85245,0.73464,1.14362,1.17776,1.09545,1.16726,0.66611,0.77288,1.05984,1.12241,1.08155,1.09145,0.61124,0.71491,1.10177,1.07940,1.06618,1.14877
,12:50,0.92577,0.74179,1.13774,1.18259,1.09536,1.18686,0.91751,0.96209,1.05943,1.12071,1.02033,1.07643,0.96983,0.93609,1.10296,1.07817,1.07659,1.14809
,13:00,0.89041,0.72925,1.12847,1.19172,1.09545,1.18642,0.83627,0.50358,1.05842,1.12433,0.98347,1.07810,0.66245,0.73678,1.10328,1.07714,1.03274,1.16255
,13:10,0.56312,0.73167,1.14634,1.19256,1.09503,1.16237,0.59498,0.71465,1.05635,1.11165,1.04115,1.09126,0.72977,0.69487,1.10368,1.07700,1.02074,1.13788
,13:20,0.96881,0.75422,1.13109,1.20111,1.20117,1.18263,0.52527,0.20707,1.05495,1.11453,1.03231,1.18117,0.58611,0.71217,1.10145,1.07854,1.04558,1.12155
,13:30,0.30357,0.74833,1.11202,1.19852,1.12814,1.19134,0.50737,0.22037,1.05680,1.11452,1.06432,1.09669,0.61767,0.73749,1.10365,1.07970,1.03325,1.13291
,13:40,0.53661,0.73953,1.10219,1.16199,1.09792,1.17884,0.33857,0.23317,1.05314,1.11023,1.06393,1.09229,0.69174,0.77264,1.10443,1.07964,1.03764,1.13979
,13:50,0.56452,0.73619,1.12105,1.14870,1.18258,1.16838,0.48610,0.23501,1.05300,1.12226,1.07010,1.08396,0.52364,0.72778,1.10244,1.08052,1.06841,1.13196
,14:00,0.60131,0.74989,1.13074,1.15889,1.08447,1.18198,0.86063,0.51113,1.05192,1.13232,1.04860,1.07037,0.58664,0.67115,1.10070,1.07933,1.04461,1.17027
,14:10,0.76820,0.83864,1.12495,1.18407,1.09749,1.18770,0.69302,0.53878,1.05023,1.12535,1.06313,1.06639,0.79360,0.76782,1.09955,1.07988,1.08436,1.17616
,14:20,0.93581,1.12217,1.10152,1.19354,1.13012,1.15798,0.60287,0.77876,1.04961,1.07390,1.06207,1.20309,0.73399,0.73500,1.09890,1.07759,1.11114,1.17512
