Window,Response,term,df,F,p,eta2,partial_eta2,sig
Morning,PPFD,Environment,4,100.312,1.9788249846820956e-79,0.11792,0.13541,***
Morning,PPFD,Period,10,0.06,0.9999842350707464,0.00018,0.00023,n.s.
Morning,PPFD,Environment x Period,40,10.961,2.032731698176674e-62,0.12885,0.14612,***
Morning,PPFD,Residuals,2562,,,0.75294,0.71824,
Morning,Transmitted PPFD (%),Environment,4,52.852,7.63781919769614e-43,0.07323,0.07623,***
Morning,Transmitted PPFD (%),Period,10,0.163,0.998446273833525,0.00057,0.00064,n.s.
Morning,Transmitted PPFD (%),Environment x Period,40,2.794,1.747960942990797e-08,0.03872,0.04181,***
Morning,Transmitted PPFD (%),Residuals,2562,,,0.88742,0.88132,
Morning,R:FR ratio,Environment,4,196.155,6.290243594840388e-147,0.15057,0.23396,***
Morning,R:FR ratio,Period,10,17.144,1.678796990513066e-30,0.0329,0.06256,***
Morning,R:FR ratio,Environment x Period,40,27.304,2.820554634247731e-166,0.20959,0.29831,***
Morning,R:FR ratio,Residuals,2569,,,0.49299,0.40517,
Midday,PPFD,Environment,4,792.226,0.0,0.29935,0.46235,***
Midday,PPFD,Period,10,0.917,0.5158643081714908,0.00087,0.00248,n.s.
Midday,PPFD,Environment x Period,40,92.903,0.0,0.35104,0.5021,***
Midday,PPFD,Residuals,3685,,,0.3481,0.03307,
Midday,Transmitted PPFD (%),Environment,4,342.626,4.728338116021976e-251,0.21913,0.27109,***
Midday,Transmitted PPFD (%),Period,10,0.78,0.6481157164895905,0.00125,0.00211,n.s.
Midday,Transmitted PPFD (%),Environment x Period,40,29.701,5.753168411906795e-191,0.18996,0.2438,***
Midday,Transmitted PPFD (%),Residuals,3685,,,0.5892,0.483,
Midday,R:FR ratio,Environment,4,201.199,2.949059854369702e-156,0.11212,0.17941,***
Midday,R:FR ratio,Period,10,18.718,6.216863334815488e-34,0.02608,0.04839,***
Midday,R:FR ratio,Environment x Period,40,34.126,1.2576532607060335e-218,0.19017,0.27051,***
Midday,R:FR ratio,Residuals,3681,,,0.51284,0.50169,
Afternoon,PPFD,Environment,4,93.284,2.0145184711168017e-74,0.10362,0.12099,***
Afternoon,PPFD,Period,10,0.266,0.9882992031502825,0.00074,0.00098,n.s.
Afternoon,PPFD,Environment x Period,40,12.851,1.4119060928041825e-75,0.14275,0.1594,***
Afternoon,PPFD,Residuals,2711,,,0.75284,0.71863,
Afternoon,Transmitted PPFD (%),Environment,4,34.26,6.179448555949538e-28,0.0454,0.04812,***
Afternoon,Transmitted PPFD (%),Period,10,0.181,0.997589766078898,0.0006,0.00067,n.s.
Afternoon,Transmitted PPFD (%),Environment x Period,40,4.215,4.5963302036906616e-17,0.05585,0.05854,***
Afternoon,Transmitted PPFD (%),Residuals,2711,,,0.89813,0.89267,
Afternoon,R:FR ratio,Environment,4,221.095,1.2618396624999764e-164,0.11447,0.24408,***
Afternoon,R:FR ratio,Period,10,21.221,1.701381368659851e-38,0.02747,0.0719,***
Afternoon,R:FR ratio,Environment x Period,40,32.475,2.303648527948909e-198,0.16814,0.32169,***
Afternoon,R:FR ratio,Residuals,2739,,,0.35453,0.36233,
