daylight,night,
10:30,13:30,Jun-03
10:30,13:30,Jun-03
10:29,13:31,Jun-03
10:28,13:32,Jun-03
10:28,13:32,Jun-03
10:27,13:33,Jun-03
10:27,13:33,Jun-03
10:26,13:34,Jun-03
10:26,13:34,Jun-03
10:26,13:34,Jun-03
10:25,13:35,Jun-03
10:25,13:35,Jun-03
10:25,13:35,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:24,13:36,Jun-03
10:25,13:35,Jun-03
10:25,13:35,Jun-03
10:25,13:35,Jul-03
10:26,13:34,Jul-03
10:26,13:34,Jul-03
10:26,13:34,Jul-03
10:27,13:33,Jul-03
10:27,13:33,Jul-03
10:28,13:32,Jul-03
10:28,13:32,Jul-03
10:29,13:31,Jul-03
10:30,13:30,Jul-03
10:30,13:30,Jul-03
10:31,13:29,Jul-03
10:32,13:28,Jul-03
10:32,13:28,Jul-03
10:33,13:27,Jul-03
10:34,13:26,Jul-03
10:35,13:25,Jul-03
10:36,13:24,Jul-03
10:36,13:24,Jul-03
10:37,13:23,Jul-03
10:38,13:22,Jul-03
10:39,13:21,Jul-03
10:40,13:20,Jul-03
10:41,13:19,Jul-03
10:42,13:18,Jul-03
10:43,13:17,Jul-03
10:44,13:16,Jul-03
10:45,13:15,Jul-03
10:46,13:14,Jul-03
10:47,13:13,Jul-03
10:49,13:11,Jul-03
10:50,13:10,Ago-03
10:51,13:09,Ago-03
10:52,13:08,Ago-03
10:53,13:07,Ago-03
10:55,13:05,Ago-03
10:56,13:04,Ago-03
10:57,13:03,Ago-03
10:58,13:02,Ago-03
11:00,13:00,Ago-03
11:01,12:59,Ago-03
11:02,12:58,Ago-03
11:04,12:56,Ago-03
11:05,12:55,Ago-03
11:06,12:54,Ago-03
11:08,12:52,Ago-03
11:09,12:51,Ago-03
11:11,12:49,Ago-03
11:12,12:48,Ago-03
11:13,12:47,Ago-03
11:15,12:45,Ago-03
11:16,12:44,Ago-03
11:18,12:42,Ago-03
11:19,12:41,Ago-03
11:21,12:39,Ago-03
11:22,12:38,Ago-03
11:24,12:36,Ago-03
11:25,12:35,Ago-03
11:27,12:33,Ago-03
11:28,12:32,Ago-03
11:30,12:30,Ago-03
11:31,12:29,Ago-03
11:33,12:27,Set-03
11:34,12:26,Set-03
11:36,12:24,Set-03
11:37,12:23,Set-03
11:39,12:21,Set-03
11:41,12:19,Set-03
11:42,12:18,Set-03
11:44,12:16,Set-03
11:45,12:15,Set-03
11:47,12:13,Set-03
11:48,12:12,Set-03
11:50,12:10,Set-03
11:52,12:08,Set-03
11:53,12:07,Set-03
11:55,12:05,Set-03
11:57,12:03,Set-03
11:58,12:02,Set-03
12:00,12:00,Set-03
12:01,11:59,Set-03
12:03,11:57,Set-03
12:05,11:55,Set-03
12:06,11:54,Set-03
12:08,11:52,Set-03
12:10,11:50,Set-03
12:11,11:49,Set-03
12:13,11:47,Set-03
12:14,11:46,Set-03
12:16,11:44,Set-03
12:18,11:42,Set-03
12:19,11:41,Set-03
12:21,11:39,Out-03
12:23,11:37,Out-03
12:24,11:36,Out-03
12:26,11:34,Out-03
12:28,11:32,Out-03
12:29,11:31,Out-03
12:31,11:29,Out-03
12:32,11:28,Out-03
12:34,11:26,Out-03
12:36,11:24,Out-03
12:37,11:23,Out-03
12:39,11:21,Out-03
12:40,11:20,Out-03
12:42,11:18,Out-03
12:44,11:16,Out-03
12:45,11:15,Out-03
12:47,11:13,Out-03
12:48,11:12,Out-03
12:50,11:10,Out-03
12:52,11:08,Out-03
12:53,11:07,Out-03
12:55,11:05,Out-03
12:56,11:04,Out-03
12:58,11:02,Out-03
12:59,11:01,Out-03
13:01,10:59,Out-03
13:02,10:58,Out-03
13:04,10:56,Out-03
13:06,10:54,Out-03
13:07,10:53,Out-03
13:08,10:52,Out-03
13:10,10:50,Nov-03
13:11,10:49,Nov-03
13:13,10:47,Nov-03
13:14,10:46,Nov-03
13:16,10:44,Nov-03
13:17,10:43,Nov-03
13:18,10:42,Nov-03
13:20,10:40,Nov-03
13:21,10:39,Nov-03
13:23,10:37,Nov-03
13:24,10:36,Nov-03
13:25,10:35,Nov-03
13:26,10:34,Nov-03
13:28,10:32,Nov-03
13:29,10:31,Nov-03
13:30,10:30,Nov-03
13:31,10:29,Nov-03
13:33,10:27,Nov-03
13:34,10:26,Nov-03
13:35,10:25,Nov-03
13:36,10:24,Nov-03
13:37,10:23,Nov-03
13:38,10:22,Nov-03
13:39,10:21,Nov-03
13:40,10:20,Nov-03
13:41,10:19,Nov-03
13:42,10:18,Nov-03
13:43,10:17,Nov-03
13:44,10:16,Nov-03
13:45,10:15,Nov-03
13:45,10:15,Dez-03
13:46,10:14,Dez-03
13:47,10:13,Dez-03
13:48,10:12,Dez-03
13:48,10:12,Dez-03
13:49,10:11,Dez-03
13:49,10:11,Dez-03
13:50,10:10,Dez-03
13:50,10:10,Dez-03
13:51,10:09,Dez-03
13:51,10:09,Dez-03
13:52,10:08,Dez-03
13:52,10:08,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:54,10:06,Dez-03
13:54,10:06,Dez-03
13:54,10:06,Dez-03
13:54,10:06,Dez-03
13:54,10:06,Dez-03
13:54,10:06,Dez-03
13:53,10:07,Dez-03
