observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,19,12,108.02,7,9.3,13,8,21.25,5,6.8,16,8,19.65,8
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,67.33,0,2.6,4,4,18.55,0
O5,22/09/03,2.7,8,4,24.05,4,0,0,0,0,0,3.5,19,5,26,14,8.2,3,3,151.57,0,18.8,11,8,335.8,3,24,12,3,388.02,9
O7,23/10/03,23.2,10,10,484.77,0,7.9,19,11,244.08,8,21.9,8,8,414.47,0,4.9,6,4,30.42,2,11.3,8,7,118.07,1,13.6,12,12,250.31,0
O9,22/11/03,26.3,16,16,754.33,0,26.3,12,12,487.33,0,34.4,15,13,1298.02,2,21.3,8,8,592.91,0,19.8,6,5,670.35,1,16.5,5,5,722.34,0
O10,15/12/03,1.2,0,0,68.65,0,11.1,11,4,207.89,7,16.4,10,8,242.5,2,6.1,0,0,175,0,2.6,0,0,38.4,0,0.4,0,0,21.6,0
O12,19/01/04,0,0,0,0,0,4.6,4,3,111.75,1,40.4,24,24,781.5,0,0,0,0,0,0,0,0,0,0,0,9.7,10,2,4.25,8
O13,09/02/04,0,0,0,0,0,1.3,1,1,5.25,0,23.7,13,13,5.5,0,0,0,0,0,0,0,0,0,0,0,22.3,8,4,28.74,4
O15,22/03/04,27.8,18,17,423.89,1,23.5,14,11,162.55,3,49.1,26,26,976.04,0,9.1,9,6,159.5,3,28.6,17,5,334,12,15.7,10,0,390.26,10
O17,21/04/04,27.2,17,17,517.45,0,10.7,6,6,212.5,0,14.1,9,9,256.87,0,1,0,-1,-2.75,1,0,0,0,11.1,0,0.5,1,1,11.25,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-6,-35.76,6,0,0,-9,-366.9,9,0,0,-3,-19,3,0,0,-9,-238.3,9,0,0,-8,-165.99,8
O20,15/07/04,0,0,0,0,0,0,0,-11,-554.29,11,0,0,-18,-931.09,18,0,0,-4,-95.64,4,0,0,-3,-89.6,3,0,0,-5,-157.84,5
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,0,0,0,0,1.5,0,0,0.92,0,0,0,0,0,0,0,0,-6,-372.5,6,0,0,-1,-54,1,3,13,4,-268.56,9
O24,18/10/04,16.7,21,17,135.38,4,5,20,14,16.57,6,0,29,19,0,10,11.6,8,8,6.21,0,15.1,16,13,175.93,3,17.1,10,10,329.34,0
O26,17/11/04,9.9,13,8,194.19,5,26.2,9,7,284.61,2,0,14,-10,0,24,10.5,15,12,231.55,3,17,2,2,710.93,0,16.1,5,2,612.07,3
O27,06/12/04,0.7,0,0,15.47,0,0.2,0,0,27.95,0,0,0,-28,0,28,0.5,0,0,30.46,0,0,0,0,-29.68,0,0,0,0,2.41,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,0,0,0,0.4,0,0,12,12,0,0,3.2,6,6,7.55,0,4.4,5,5,10.3,0,6.3,3,3,5.6,0
O33,25/03/05,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,13.3,7,6,315.28,1,22.5,14,10,351.19,4,22.6,18,14,274.54,4
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0.3,0,0,183.39,0,5,0,0,318.45,0,0.9,0,0,156.38,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
