,Date ,28-29/07/2004,29-30/07/2004,30-31/07/2004,31/07-01/08/2004,01-02/08/2004,20-21/07/2004,21-22/07/2004,22-23/07/2004,23-24/07/2004,24-25/07/2004,25-26/07/2004
,& environment,AFS 2m,AFS 1.2m,AFS 2m,AFS 1.2m,AFS 2m,MO 2m,MO 1.2m,MO 2m,MO 1.2m,Open area 2m,Open area 2m
Hour,7:20,0.30,0.03,0.27,0.18,0.26,0.56,0.38,0.73,0.48,0.84,0.96
,7:30,0.54,0.16,0.77,0.89,0.94,3.60,2.53,4.31,2.97,4.60,5.05
,7:40,1.28,0.39,2.09,2.32,2.41,11.33,8.15,13.12,9.13,12.88,13.89
,7:50,5.62,1.51,19.19,5.10,20.78,67.54,28.16,58.06,29.76,65.10,73.00
,8:00,9.09,1.43,7.13,5.58,7.01,120.20,33.07,148.20,34.12,131.50,157.20
,8:10,13.10,2.34,8.01,6.24,7.74,141.30,49.62,201.40,39.02,182.60,208.50
,8:20,16.80,4.86,8.81,6.80,8.49,161.60,128.10,172.60,54.46,234.70,253.00
,8:30,20.04,9.34,9.61,10.77,9.20,269.60,237.90,284.20,130.30,282.70,298.80
,8:40,16.20,4.58,10.40,14.34,9.97,344.40,199.50,361.50,213.80,331.80,348.20
,8:50,25.11,4.17,11.86,15.82,11.30,406.20,68.46,437.20,55.90,390.90,405.60
,9:00,39.58,6.83,39.65,19.44,26.57,461.80,214.50,512.30,137.00,463.60,477.30
,9:10,42.14,5.95,46.22,19.96,53.41,517.10,224.90,570.10,65.98,545.40,559.40
,9:20,38.32,9.84,35.68,22.91,27.58,569.70,248.00,599.70,323.80,611.10,632.30
,9:30,75.43,13.05,27.27,22.85,66.76,620.30,556.70,639.30,528.90,669.40,699.30
,9:40,266.00,10.92,435.70,17.91,456.80,670.00,663.50,689.30,600.90,739.70,759.10
,9:50,52.16,11.58,273.00,17.72,269.30,717.40,710.00,735.80,681.40,788.20,811.20
,10:00,32.52,9.64,64.23,20.21,260.90,760.80,719.70,780.50,765.40,830.60,859.60
,10:10,30.18,21.09,46.73,27.18,345.00,801.80,760.00,826.20,823.20,881.10,892.90
,10:20,25.48,23.50,45.16,33.01,70.58,838.40,799.80,864.40,804.10,929.90,936.80
,10:30,30.76,28.95,48.06,31.21,20.60,876.20,834.90,905.60,837.40,973.50,979.80
,10:40,35.70,32.05,46.74,37.31,23.83,911.40,860.30,937.90,879.50,1015.00,1020.00
,10:50,34.80,35.75,45.70,42.60,17.00,938.20,870.00,969.90,886.30,1053.00,1058.00
