,Date ,10-11/03/2005,11-12/03/2005,12-13/03/2005,13-14/03/2005,14-15/03/2005,15-16/03/2005,24-25/03/2005,25-26/03/2005,26-27/03/2005
,& environment,MO 1.2m,MO 1.2m,AFS 1.2m,AFS 1.2m,AFS 2m,AFS 2m,Open area 2m,Open area 2m,MO 2m
Hour,6:30,0.8116,0.3221,0.02459,0.06643,0.28438,0.04449,2.05,1.2981,1.288
,6:40,0.98082,1.229,0.92514,1.26695,0.95473,0.5206,4.45,4.019,2.632
,6:50,1.4181,1.8276,1.22458,1.697,1.4947,0.5323,37.65,8.126,10.5
,7:00,1.4977,1.83,1.22426,1.57376,1.5326,0.941,58.5,60.12,38.8
,7:10,1.52315,2.194,1.441,1.8982,1.6937,1.17463,165,100.44,43.5
,7:20,2.1811,2.925,1.737,2.4522,2.788,3.872,228,110.02,87.5
,7:30,2.367,2.723,1.7242,2.3121,3.169,3.527,338,133.29,65.16
,7:40,4.603,8.334,2.3661,3.128,7.656,7.135,440.5,190.7,104.56
,7:50,9.39,17.62,1.6247,2.815,7.82,7.927,445.5,252.5,113.2
,8:00,13.7,25.25,1.223,5.826,7.7,9.284,430,274.7,79.42
,8:10,17.39,33.05,2.071,11.62,10.85,16.71,684.5,119.7,102.1
,8:20,20.78,37.66,2.893,15.25,12.67,8.149,680,344.8,104
,8:30,25,40.74,2.001,9.218,6.534,9.319,717.5,398.6,132
,8:40,28.31,41.98,2.108,8.323,10.67,11.68,916.5,434.8,161.4
,8:50,32.43,42.9,2.264,12.79,14.18,15.07,996,472.4,143.9
,9:00,36.03,43.76,1.286,10.68,12.26,20.35,968,506.1,215.6
,9:10,38.36,45.01,1.019,15.98,13.46,19.71,1007,543,420
,9:20,41,50.13,4.067,14.28,17.23,22.01,1070,577.3,539.7
,9:30,43.89,57.28,4.756,13.46,27.09,27.63,1098.5,612.1,663.5
,9:40,47.07,54.09,11,13.73,40.64,32.53,1029,644.8,655
,9:50,49.98,54.36,21.44,17.37,30.54,36.98,1211,677.3,232.1
,10:00,51.23,62.91,6.864,29.61,32.04,39.1,1147,707.9,192.3
,10:10,53.33,56.16,3.586,36.77,31.19,44.04,1134.5,736.3,187.5
,10:20,54.78,71.01,2.943,15.28,37.94,45.54,1037.5,763.9,197.4
,10:30,63.52,64.4,3.552,20.69,30.43,42.88,1020,788.7,215.4
,10:40,162.7,115.5,4.522,50.69,25.63,58.2,1044.5,812.3,225.2
,10:50,129.4,254.9,4.352,15,36.23,46.02,1029,834.2,200.7
,11:00,190,164.9,8.821,56.98,17.75,74.27,1282,854.8,197.5
,11:10,497,430.5,5.192,27.44,19.42,38.5,1475,872.2,163.6
,11:20,430.4,444.2,4.057,20.99,33.53,51.95,1290.5,889.3,139
,11:30,425.3,273.2,4.066,22.97,42.53,91.97,1302.5,697.8,191.9
,11:40,66.99,68.39,52.7,36.67,59.25,43.58,937.73,938.6,302.8
,11:50,72.25,98.5,49.28,42.26,62.48,36.8,1665,800,288.1
,12:00,83.91,113.4,48.82,49.94,58.31,52.42,979.2,661.4,324.8
,12:10,100.6,121.02,52.96,33.66,63.98,65.74,972.4,565,311.8
,12:20,90.75,158.8,51.12,40.23,56.81,52.68,1297.4,1102,378.3
,12:30,92.36,110.5,36.67,44.61,66.89,77.3,1279,819.2,487.7
,12:40,108.3,182.3,48,62.36,47.31,372.9,1219,328.5,504.2
,12:50,113.6,257.6,56.4,56.09,56.68,58.98,768,226.2,504.5
,13:00,252.4,450.4,38.47,27.51,38.21,21.48,900.5,391.4,505.2
,13:10,163.2,219.5,39.46,41.51,36.53,12.61,682,332.7,583.6
,13:20,124.7,216.7,33.95,33.79,41.1,23.27,890,418.3,540
,13:30,112.9,222.8,39.64,13.54,68.96,24.16,971,843.8,504
,13:40,115.7,256.3,38.29,9.936,55.31,21.95,980.5,481.7,474.9
,13:50,132.5,271.5,145.2,18.59,37.97,17.65,924.5,1018,484.1
,14:00,146.4,248.2,110.3,24.41,52.66,24.36,878,524.7,540.2
,14:10,118.8,302.6,123.3,33.47,70.29,48.57,971,746.2,508.2
,14:20,114,186,104.6,50.69,74.3,43.56,978.5,814.8,649.6
,14:30,119.6,301.6,125.5,68.78,61.01,44.25,978,900.4,571.5
,14:40,109.8,283.3,127.3,67.66,44.58,45.7,977,873.6,811
,14:50,188.4,261.3,74.43,69.67,41.66,54.84,1173,846.1,933.8
,15:00,201.2,258.3,68.11,45.71,40.11,26.48,1141,788.3,919.7
,15:10,151.4,246.7,99.18,21.71,50.86,26.23,1060,556.7,829.5
,15:20,128.9,326.5,66.05,24.37,49.57,32.94,1003.5,736.6,850.6
,15:30,150.8,504.3,69.95,28.01,71.85,19.33,985,742.9,761.4
,15:40,141.6,672,122.7,31.78,84.14,35.31,1035,659.1,795.8
,15:50,108.4,677.5,121.3,26.21,81.26,47.9,362,489.2,581.4
,16:00,128.8,650.6,107,34.11,44.63,17.27,448,577.4,564.4
,16:10,150.2,606,56.24,45.78,58.45,16.17,1149.5,549.9,557.5
,16:20,146.6,641.3,67.6,47.62,38.86,19.34,650,487.5,548
,16:30,92.22,282.5,48.07,51.84,23.14,26.69,596.5,442.7,497
,16:40,119.4,264.5,44.98,43.42,21.58,35.51,403.5,402.9,397.1
,16:50,125.3,256.3,39.68,37.59,16.37,39.61,248.5,362.6,284
,17:00,92.17,156.4,36.96,29.83,13.83,46.61,209.5,323.7,175.2
,17:10,78.94,82.1,34.58,38.42,20.56,28.95,107.5,131.5,138.8
,17:20,42.66,51.4,25.01,35.47,17.92,20.17,102.36,72.8,119
,17:30,30.3,28,28.32,33.6,18.76,22.68,100.5,65.52,47.2
,17:40,23.3,16.2,18.53,24.61,15.43,19.01,68.03,55.43,33.5
,17:50,20.23,14.1,15.98,16.55,14.4,16.92,37.38,38.74,30.7
,18:00,17.42,12.7,10.84,14.6,12.38,15.66,29.37,52.02,30.9
,18:10,17.7,11.8,8.11,11.14,11.1,12.05,21.61,39.07,25.3
,18:20,11.22,10.3,8.45,8.32,7.97,8.92,15.12,24.64,17.32
,18:30,7.14,7.09,5.573,5.81,4.71,5.08,13.55,19.4,3.149
