,Date ,04-05/11/2004,07-08/11/2004,08-09/11/2004,09-10/11/2004,10-11/11/2004,11-12/11/2004,12-13/11/2004,13-14/11/2004,31/10-01/11/2004,01-02/11/2004,02-03/11/2004
,& environment,MO 2m,Open area 2m,Open area 2m,MO 2m,MO 1.2m,MO 1.2m,AFS 1.2m,AFS 2m,AFS 1.2m,AFS 2m,MO 1.2m
Hour,5:50,2.372,2.79,2.88,2.451,1.671,1.614,0.1144,0.878,0.1144,0.8479,1.067
,6:00,6.061,11.74,6.83,6.818,3.248,4.214,3.22,2.26,1.688,3.518,4.45
,6:10,12.09,20.69,10.42,9.37,6.31,7.461,4.657,7.122,4.32,4.555,7.77
,6:20,25.11,79.64,22.67,21.34,10.17,10.274,5.944,8.981,5.636,8.5554,14.99
,6:30,38.33,88.59,34.92,36.8,14.25,54.19,7.357,9.328,7.907,8.349,28.21
,6:40,44.26,97.54,50.37,52.78,19.59,49.57,8.58,15.75,8.757,11.23,31.99
,6:50,51.35,214.5,76.02,49.93,22.78,35.25,10.05,18.05,9.897,18.42,34.93
,7:00,59.67,494.8,74.11,25.12,57.55,74.25,12.54,13.01,10.57,10.18,43.16
,7:10,72.68,573.4,89.77,20.89,75.26,91.78,14.38,18.18,11.04,11.54,57.43
,7:20,86.96,654.1,82.82,26.9,120.1,106.9,18.55,21.65,11.6,19.91,66.87
,7:30,103.2,735.2,114.1,25.65,141.7,138.8,21.27,23.8,12.27,16.44,73.44
,7:40,119.7,816.2,139.5,32.31,101.7,166.5,21.19,27.77,12.67,23.95,98.85
,7:50,136.8,896.7,185.9,56.6,84.64,151.2,31.32,29.85,13.14,13.57,120.7
,8:00,153.5,956.2,175.9,103.4,69.35,123.3,36.73,33.01,13.56,13.92,119.8
,8:10,173,1023,297.8,83.46,79.33,192,30.65,42.96,14.29,14.84,111.6
,8:20,198.8,1114,261.9,258.1,128.6,163.3,34.42,37.79,15.61,14.78,112.5
,8:30,235.7,1171,228.3,357.9,140.8,131.9,21.3,27.48,16.57,15.17,131
,8:40,270.7,1142,256.5,232.9,151.1,201.4,24.86,31.1,24.34,15.23,158.2
,8:50,307.5,1147,353,225.7,135.8,200,16.16,27.71,30.31,15.73,170.4
,9:00,398.9,1415,858.6,151.2,255.7,186.5,17.86,31.73,31.1,18.55,178.6
,9:10,459.2,1480,1236,118.6,299.6,158.4,18.89,27.74,42.74,20.26,189.1
,9:20,450.7,1539,1338,261.5,233.6,185.3,18.18,25.19,50.95,22.46,199.5
,9:30,461,1599,1573,387,229.7,223.3,19.63,18.2,56.64,23,200.4
,9:40,475.9,1663,1483,442.8,250.5,238.1,20,23.7,49.84,24.58,200.2
,9:50,363.1,1720,1477,277.3,297.7,178.2,19.18,20.03,52.21,153.9,201
,10:00,298.3,1767,1823,110.2,343.8,285,27.06,109.2,235.1,39.74,196.6
,10:10,237.5,1820,1854,96.94,366.2,219.8,75.92,74.55,30.02,155.5,209.5
,10:20,304.1,1866,1937,119,483.9,208.6,30.77,61.34,28.02,84.47,345.2
,10:30,294.3,1902,1186,338.1,397.3,200.5,25.59,62.34,18.38,28.73,297.4
,10:40,249.7,1848,1303,410.7,299.8,189,25.34,44.901,19.44,21.21,417.8
