,Date ,27-28/08/2003,28-29/08/2003,29-30/08/2003,02-03-09/2003,03-04/09/2003,10-11/09/2003,14-15/09/2023,16-17/09/2023,18-19/09/2003,21-22/09/2003,23-24/09/2003,24-25/09/2003,29-30/09/2003,30/09/2003-01/10/2003
,& environment,AFS 2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,MO 2m
Hour,6:10,0.32,0.03,3.083,2.42,2.20,0.03,4.18,2.21,1.97,4.68,0.64,0.12,5.53,4.90
,6:20,0.79,0.72,4.125,4.04,3.42,0.41,7.23,4.59,3.71,9.60,1.24,0.84,9.19,8.30
,6:30,0.89,0.81,10.44,5.44,4.92,0.80,16.71,12.14,4.71,16.77,2.23,2.21,62.70,25.30
,6:40,0.90,0.88,15.84,11.24,8.81,2.16,31.19,13.69,6.92,34.32,4.98,2.97,122.90,68.90
,6:50,1.22,1.00,19.1,13.01,10.70,4.47,42.67,17.75,14.74,46.99,5.19,5.19,194.80,142.50
,7:00,1.49,1.12,23.22,22.26,29.50,5.12,79.17,21.30,45.68,78.77,32.26,9.40,260.70,226.10
,7:10,3.14,2.58,47.83,41.51,48.30,6.96,142.60,33.43,76.62,170.90,28.51,13.60,330.60,289.70
,7:20,6.45,5.37,116.00,83.71,66.74,8.53,213.70,46.19,101.30,172.50,43.00,13.90,394.60,353.00
,7:30,10.26,7.40,177.20,157.30,83.03,9.87,275.60,60.14,141.60,261.60,73.06,16.91,453.80,418.40
,7:40,17.58,11.42,283.90,252.40,97.98,11.05,336.50,84.62,181.50,297.80,81.76,19.65,510.20,485.60
,7:50,29.45,14.84,351.20,259.80,111.20,12.47,404.20,108.70,200.40,387.60,72.08,20.88,568.00,587.40
,8:00,25.54,16.17,408.60,314.90,121.80,14.99,476.00,129.80,189.20,484.00,69.27,21.91,628.40,644.10
,8:10,33.19,21.29,465.50,450.50,170.60,18.67,545.90,146.20,218.80,587.10,82.95,24.63,690.00,690.70
