,Date ,29-30/08/2004,30-31/08/2004,31/08-01/09/2004,01-02/09/2004,02-03/09/2004,06-07/09/2004,07-08/09/2004,08-09/09/2004,09-10/09/2004,09-10/09/2004
,& environment,Open area 2m,AFS 1.2m,AFS 2m,Open area 2m,MO 1.2m,MO 2m,MO 2m,MO 1.2m,AFS 2m,AFS 1.2m
Hour,6:30,1.413,0.4964,0.1952,0.991,0.08894,1.828,0.3275,1.159,0.2048,0.1109
,6:40,6.638,1.667,0.617,5.207,0.427,8.034,2.191,4.399,0.4736,0.3361
,6:50,13.84,3.702,1.916,14.58,2.666,20.62,9.151,10.51,0.8926,0.7837
,7:00,31.32,6.115,4.528,35.1,6.83,37.53,22.74,18.89,1.636,1.119
,7:10,55.2,8.162,19.92,61.08,8.928,54.56,40.37,28.46,2.39,1.184
,7:20,86.4,10.24,32.8,98.61,9.354,72.16,58.72,39.33,3.246,1.754
,7:30,108.6,17.36,31.49,151.6,11.22,97.75,76.09,51.04,4.129,2.882
,7:40,137.7,26.55,18.16,231.1,23.03,98.36,91.66,62.56,6,3.49
,7:50,143.7,17.13,18.66,309.8,34.43,110.9,113.6,73.78,6.53,3.049
,8:00,309.2,16.45,16.57,315.8,71.19,133.2,132.5,87.33,8.994,3.059
,8:10,361.3,18.54,25.38,324.4,101.4,195,148.3,102.2,11.95,3.039
,8:20,491.9,23.66,26.17,431.7,74.91,382.4,219.3,114.3,13.27,4.602
,8:30,631.6,50.98,44.4,404,31.4,540.4,328.2,124.9,15.21,4.386
,8:40,700.3,32.99,137.8,443.2,57.16,413,441,135.9,18.24,5.812
,8:50,767.5,35.18,146.7,675.7,45.9,679.5,525.8,160.7,24.46,7.946
,9:00,846.8,37.05,88.98,726.4,44.39,745.7,587.2,214.2,30.69,8.716
,9:10,918.3,38.9,53.8,790.2,35.7,812.2,646.4,177.8,26.76,6.361
,9:20,989.8,40.81,43.41,844,17.37,875,706,171.3,29.82,7.442
,9:30,1061,42.55,44.03,908.7,16.2,934.7,770.3,201.2,31.59,10.76
,9:40,1128,45.41,47.25,964.5,31.86,987.6,832.2,228.6,37.14,13.12
,9:50,1190,91.87,46.77,1032,88.49,706,885.6,233.8,48.44,12.3
,10:00,1251,125.8,96.22,1094,77.49,918.8,745.9,196.4,52.93,7.426
,10:10,1306,48.62,57.04,1160,156.7,663,794,202.2,57.89,8.406
,10:20,1354,51.78,78.93,1217,220.6,271,289.2,207.6,63.43,8.857
,10:30,1398,135.2,56.45,1261,226.5,203.7,247.4,215.5,69.52,11.78
,10:40,1436,57.87,55.86,1302,244.4,257.8,256.6,243.4,79.82,17.1
,10:50,1468,231.5,107.9,1332,271.8,182.4,245,228.1,83.94,22.03
,11:00,1511,220.2,116.12,1351,283.6,201.8,246.5,228.5,90.18,26.71
,11:10,1538,283.7,133,1385,232,232.3,260.6,234.9,75.28,25.92
,11:20,1570,378.8,230.6,1398,223.2,278.7,333.8,245.5,75.54,33
,11:30,1604,83.57,77.47,1406,195.5,422.9,454.1,295.7,90.28,23.94
,11:40,1617,76.6,130.6,1430,182.1,556.6,448.4,261.9,94.31,19.23
,11:50,1644,77.44,136.1,1453,152,1132,522,257.3,102.6,17.62
,12:00,1661,111.1,127.2,1476,124.1,724.3,1076,273.9,120.5,28.22
,12:10,1670,218.4,308.7,1464,115.4,366.1,670.1,271.6,117.5,12.41
,12:20,1678,58.39,177.7,1447,147.4,276.7,312.3,274.4,109.4,25.59
,12:30,1674,38.9,167.4,1473,141.6,303.5,336.2,281.6,117.2,32.62
