,Date ,31/10-01/11/2004,01-02/11/2004,02-03/11/2004,04-05/11/2004,07-08/11/2004,08-09/11/2004,9-10/11/2004,11-12/11/2004,12-13/11/2004,13-14/11/2004
,& environment,AFS 1.2m,AFS 2m,MO 1.2m,MO 2m,Open area 2m,Open area 2m,MO 2m,MO 1.2m,AFS 1.2m,AFS 2m
Hour,5:50,0.34711,0.38420,0.53385,0.91184,1.15132,1.15704,0.93014,1.10076,0.46886,0.83241
,6:00,0.34569,0.37832,0.54033,0.91775,1.14881,1.10895,0.95093,1.10309,0.47481,0.81090
,6:10,0.34427,0.37243,0.54681,0.92366,1.14629,1.20219,0.97172,1.10542,0.48077,0.78939
,6:20,0.34285,0.36654,0.55329,0.92957,1.14377,1.19544,0.99251,1.10775,0.48672,0.76788
,6:30,0.43529,0.65248,0.72858,0.89928,1.15591,1.14839,0.84653,1.06347,0.53709,0.63152
,6:40,0.35316,0.43543,0.42087,0.95307,1.05880,1.08827,1.06347,1.08522,0.55463,0.68954
,6:50,0.29502,0.34079,0.44105,0.95529,1.07071,1.09692,1.10497,1.10049,0.40724,0.69341
,7:00,0.26767,0.26196,0.46992,0.95774,1.08174,1.10334,1.13589,1.13031,0.43571,0.69201
,7:10,0.34273,0.27667,0.55620,0.96669,1.09193,1.11790,1.13869,1.14103,0.58554,0.69344
,7:20,0.52164,0.39539,0.69895,0.96678,1.10136,1.11671,1.13501,1.15613,0.53627,0.69094
,7:30,0.27335,0.34996,0.75690,0.97748,1.10956,1.12662,1.14201,1.16851,0.41856,0.68096
,7:40,0.36186,0.37535,0.66724,0.98724,1.11525,1.11981,1.17837,1.17668,0.58752,0.67040
,7:50,0.21161,0.21896,0.65685,0.99032,1.11991,1.13651,1.17998,1.14392,0.58433,0.60749
,8:00,0.25816,0.20912,0.63811,0.99054,1.12653,1.13708,1.20734,1.13054,0.54978,0.59539
,8:10,0.22341,0.21122,0.58031,0.99095,1.13157,1.15782,1.20295,1.08489,0.56843,0.61114
,8:20,0.21093,0.19494,0.58017,0.99344,1.13596,1.14262,1.20739,1.12390,0.58053,0.48017
,8:30,0.33085,0.18999,0.58715,0.99344,1.14063,1.13401,1.20181,1.10787,0.52345,0.28879
,8:40,0.44480,0.18400,0.68453,0.99386,1.14582,1.13871,1.16846,1.07030,0.46267,0.26403
,8:50,0.44207,0.18173,0.64148,0.99618,1.14970,1.16208,1.17770,1.07583,0.47491,0.20142
