Trait,Feature,Category,Importance_pct
A,PPFD midday,Light (midday),81.0
A,R:FR midday,Light (midday),9.6
A,DLI,Light (midday),0.9
A,GDD,Thermal,0.1
A,T max,Thermal,0.4
A,T min,Thermal,1.3
A,DTR,Thermal,0.2
A,Night length,Photoperiod,6.3
A,Precipitation,Water,0.3
gs,PPFD midday,Light (midday),26.8
gs,R:FR midday,Light (midday),51.1
gs,DLI,Light (midday),6.7
gs,GDD,Thermal,1.1
gs,T max,Thermal,1.0
gs,T min,Thermal,4.5
gs,DTR,Thermal,1.3
gs,Night length,Photoperiod,0.5
gs,Precipitation,Water,7.0
E,PPFD midday,Light (midday),72.4
E,R:FR midday,Light (midday),5.0
E,DLI,Light (midday),8.0
E,GDD,Thermal,0.2
E,T max,Thermal,1.6
E,T min,Thermal,1.2
E,DTR,Thermal,4.6
E,Night length,Photoperiod,0.2
E,Precipitation,Water,6.6
WUE,PPFD midday,Light (midday),1.5
WUE,R:FR midday,Light (midday),70.6
WUE,DLI,Light (midday),2.4
WUE,GDD,Thermal,0.4
WUE,T max,Thermal,1.1
WUE,T min,Thermal,4.9
WUE,DTR,Thermal,0.9
WUE,Night length,Photoperiod,0.0
WUE,Precipitation,Water,18.3
iWUE,PPFD midday,Light (midday),75.9
iWUE,R:FR midday,Light (midday),2.0
iWUE,DLI,Light (midday),0.2
iWUE,GDD,Thermal,0.0
iWUE,T max,Thermal,0.1
iWUE,T min,Thermal,0.2
iWUE,DTR,Thermal,0.7
iWUE,Night length,Photoperiod,1.1
iWUE,Precipitation,Water,19.7
LUE,PPFD midday,Light (midday),55.3
LUE,R:FR midday,Light (midday),1.3
LUE,DLI,Light (midday),20.3
LUE,GDD,Thermal,2.7
LUE,T max,Thermal,2.1
LUE,T min,Thermal,0.8
LUE,DTR,Thermal,5.1
LUE,Night length,Photoperiod,1.8
LUE,Precipitation,Water,10.6
deltaT,PPFD midday,Light (midday),3.6
deltaT,R:FR midday,Light (midday),64.5
deltaT,DLI,Light (midday),8.0
deltaT,GDD,Thermal,0.1
deltaT,T max,Thermal,1.3
deltaT,T min,Thermal,1.3
deltaT,DTR,Thermal,8.4
deltaT,Night length,Photoperiod,0.9
deltaT,Precipitation,Water,11.8
