System,Trait,FE_mean,FE_sd,MA_mean,MA_sd,n_FE,n_MA,t,p,sig,Cohen_d,test
MO,A,6.909,4.2995,6.3261,3.9903,501,429,2.13,0.0334,*,0.14,t-test
MO,gs,0.209,0.0978,0.2211,0.1013,501,429,-1.841,0.06599,n.s.,-0.121,t-test
MO,E,3.7602,1.8849,3.4977,1.7808,501,429,2.172,0.03013,*,0.143,t-test
MO,WUE,2.3732,5.0594,2.421,4.9121,501,429,-0.146,0.88433,n.s.,-0.01,t-test
MO,iWUE,35.3661,21.1468,30.8723,19.0489,501,429,3.381,0.00075,***,0.222,t-test
MO,LUE,0.0363,0.0678,0.0351,0.0426,501,429,0.328,0.74291,n.s.,0.022,t-test
MO,deltaT,-0.0672,1.2976,-0.1537,1.2759,501,429,1.021,0.30746,n.s.,0.067,t-test
MO,Phi,0.00324,,0.00315,,499,429,,0.80486,n.s.,,ANCOVA (slope difference)
AFS,A,1.6978,1.5992,1.5025,1.3774,370,1131,2.272,0.02321,*,0.136,t-test
AFS,gs,0.1411,0.0703,0.1477,0.0907,370,1131,-1.288,0.19809,n.s.,-0.077,t-test
AFS,E,1.7833,1.2567,1.9335,1.4945,370,1131,-1.742,0.08171,n.s.,-0.104,t-test
AFS,WUE,1.283,1.3715,1.24,1.3629,368,1121,0.525,0.59954,n.s.,0.032,t-test
AFS,iWUE,13.0494,11.121,12.039,10.2475,368,1121,1.606,0.1084,n.s.,0.097,t-test
AFS,LUE,0.0759,0.0697,0.0639,0.0601,368,1121,3.195,0.00143,**,0.192,t-test
AFS,deltaT,-0.6247,0.4018,-0.5551,0.4639,370,1131,-2.588,0.00973,**,-0.155,t-test
AFS,Phi,0.00371,,0.00446,,339,1038,,0.17396,n.s.,,ANCOVA (slope difference)
