Predictor,Importance,Importance_pct
Shoot elongation,0.2540740740740741,45.3
Leaf shed,0.10185185185185192,18.1
Metamer emission,0.0903703703703704,16.1
Leaf area increase,0.06296296296296298,11.2
Leaf number increase,0.05222222222222225,9.3
GDD,0.0,0.0
Night length,0.0,0.0
PPFD midday,-0.007407407407407381,0.0
R:FR midday,-0.0018518518518518268,0.0
PPFD morning,0.0,0.0
PPFD afternoon,0.0,0.0
R:FR morning,0.0,0.0
R:FR afternoon,-0.007407407407407381,0.0
DTR,0.0,0.0
System,0.0,0.0
