,elongation,elongation,metamer_emission,metamer_emission,leaf_increase,leaf_increase,leaf_area_increase,leaf_area_increase,leaf_shed,leaf_shed
,F,M,F,M,F,M,F,M,F,M
Label,,,,,,,,,,
Night length,7.1,16.6,72.3,38.8,9.1,12.6,4.0,18.5,13.5,24.7
R:FR morning,37.0,16.1,2.0,22.3,2.0,30.5,47.0,34.9,1.4,2.3
Phase (growth),31.3,35.3,9.2,4.6,31.0,9.3,3.1,16.5,0.0,0.5
R:FR afternoon,0.3,0.9,1.8,0.2,0.1,0.5,32.2,2.4,0.7,5.4
T min,13.1,8.9,0.9,2.8,7.2,2.6,3.0,17.9,31.9,2.5
T max,1.6,10.0,0.1,0.6,0.4,0.6,3.0,2.1,27.6,28.3
PPFD morning,1.4,0.3,4.0,1.5,20.5,1.1,0.3,0.6,0.7,2.5
GDD,1.7,0.9,5.3,15.8,19.7,19.5,0.9,0.4,8.8,6.7
DTR,2.1,1.6,0.5,7.2,3.1,14.8,0.4,3.4,5.2,7.2
Precipitation,0.3,0.7,0.7,2.0,0.5,3.2,0.7,0.1,3.3,7.9
PPFD afternoon,1.7,4.3,0.0,1.3,0.4,1.4,1.3,2.0,0.9,4.3
DLI,1.2,0.5,0.9,0.5,3.3,0.5,0.6,0.7,4.0,1.8
PPFD midday,0.5,1.6,0.4,1.1,0.9,1.5,3.2,0.2,1.1,3.4
R:FR midday,0.8,2.2,1.9,1.2,1.9,2.0,0.2,0.4,0.8,2.5
System,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
