Window,Environment,PPFD,n_PPFD,Transmitted_PPFD_pct,R:FR,n_RFR,Transmitted_RFR_pct
Midday (10:00-14:50),OA 2 m,1245.5 +/- 16.9,930,100.0,1.126 +/- 0.002,930,100.0
Midday (10:00-14:50),MO 2 m,938.5 +/- 22.4,690,75.4,1.023 +/- 0.006,660,90.8
Midday (10:00-14:50),MO 1.2 m,578.7 +/- 20.1,720,46.5,0.898 +/- 0.010,690,79.7
Midday (10:00-14:50),AFS 2 m,80.7 +/- 3.3,720,6.5,0.683 +/- 0.007,730,60.6
Midday (10:00-14:50),AFS 1.2 m,62.3 +/- 2.9,680,5.0,0.606 +/- 0.009,726,53.8
Morning (06:00-09:50),OA 2 m,523.9 +/- 18.2,648,100.0,1.095 +/- 0.004,647,100.0
Morning (06:00-09:50),MO 2 m,362.1 +/- 18.7,484,69.1,0.986 +/- 0.008,461,90.1
Morning (06:00-09:50),MO 1.2 m,189.2 +/- 12.0,506,36.1,0.841 +/- 0.011,482,76.8
Morning (06:00-09:50),AFS 2 m,27.9 +/- 1.9,498,5.3,0.623 +/- 0.009,505,56.9
Morning (06:00-09:50),AFS 1.2 m,18.4 +/- 0.8,481,3.5,0.503 +/- 0.009,529,45.9
Afternoon (15:00-18:50),OA 2 m,563.7 +/- 18.8,689,100.0,1.122 +/- 0.002,690,100.0
Afternoon (15:00-18:50),MO 2 m,412.4 +/- 18.8,513,73.2,1.043 +/- 0.006,494,93.0
Afternoon (15:00-18:50),MO 1.2 m,310.6 +/- 16.7,537,55.1,0.939 +/- 0.008,516,83.7
Afternoon (15:00-18:50),AFS 2 m,55.0 +/- 4.8,537,9.8,0.709 +/- 0.006,559,63.2
Afternoon (15:00-18:50),AFS 1.2 m,36.1 +/- 2.4,490,6.4,0.659 +/- 0.007,535,58.7
