Variable,Light_feature,Group,n,r,p,sig
Shoot elongation,PPFD morning,All,2250,0.219,8.358663576292286e-26,***
Shoot elongation,PPFD midday,All,2250,0.176,4.3870000847593046e-17,***
Shoot elongation,PPFD afternoon,All,2250,0.113,7.351118829891116e-08,***
Shoot elongation,R:FR morning,All,2250,0.055,0.008855340310268012,**
Shoot elongation,R:FR midday,All,2250,0.039,0.061788408099171896,n.s.
Shoot elongation,R:FR afternoon,All,2250,0.055,0.009580556848881466,**
Shoot elongation,DLI,All,2250,0.182,2.9008577479411546e-18,***
Shoot elongation,PPFD morning,Females,1050,0.347,3.663270493920165e-31,***
Shoot elongation,PPFD midday,Females,1050,0.279,2.911060387076715e-20,***
Shoot elongation,PPFD afternoon,Females,1050,0.2,6.067502204997417e-11,***
Shoot elongation,R:FR morning,Females,1050,0.171,2.3626450726394634e-08,***
Shoot elongation,R:FR midday,Females,1050,0.126,4.363498095411869e-05,***
Shoot elongation,R:FR afternoon,Females,1050,0.138,7.757888647557126e-06,***
Shoot elongation,DLI,Females,1050,0.293,2.8285801753963736e-22,***
Shoot elongation,PPFD morning,Males,1200,0.069,0.016257037931507574,*
Shoot elongation,PPFD midday,Males,1200,0.056,0.05356467149988987,n.s.
Shoot elongation,PPFD afternoon,Males,1200,0.004,0.8917632624878169,n.s.
Shoot elongation,R:FR morning,Males,1200,-0.074,0.010335054494504475,*
Shoot elongation,R:FR midday,Males,1200,-0.065,0.025115206715784752,*
Shoot elongation,R:FR afternoon,Males,1200,-0.047,0.10694271466922445,n.s.
Shoot elongation,DLI,Males,1200,0.054,0.062202170160223474,n.s.
Metamer emission,PPFD morning,All,2250,0.211,5.260866569939992e-24,***
Metamer emission,PPFD midday,All,2250,0.182,2.7287873400724653e-18,***
Metamer emission,PPFD afternoon,All,2250,0.139,3.175885524904072e-11,***
Metamer emission,R:FR morning,All,2250,0.107,3.9810223781472644e-07,***
Metamer emission,R:FR midday,All,2250,0.082,9.11959652754461e-05,***
Metamer emission,R:FR afternoon,All,2250,0.089,2.378247110256136e-05,***
Metamer emission,DLI,All,2250,0.186,4.815255986864452e-19,***
Metamer emission,PPFD morning,Females,1050,0.26,1.2478653181407755e-17,***
Metamer emission,PPFD midday,Females,1050,0.219,6.561042871471514e-13,***
Metamer emission,PPFD afternoon,Females,1050,0.169,3.619242991301326e-08,***
Metamer emission,R:FR morning,Females,1050,0.137,8.201318994236465e-06,***
Metamer emission,R:FR midday,Females,1050,0.097,0.0016196672657480585,**
Metamer emission,R:FR afternoon,Females,1050,0.101,0.0010436210825049222,**
Metamer emission,DLI,Females,1050,0.228,8.279159266171358e-14,***
Metamer emission,PPFD morning,Males,1200,0.157,4.6239810177948124e-08,***
Metamer emission,PPFD midday,Males,1200,0.139,1.3753065849123114e-06,***
Metamer emission,PPFD afternoon,Males,1200,0.098,0.0006847930821877568,***
Metamer emission,R:FR morning,Males,1200,0.065,0.025455008085569317,*
Metamer emission,R:FR midday,Males,1200,0.05,0.08304897823562496,n.s.
Metamer emission,R:FR afternoon,Males,1200,0.059,0.03963747846174741,*
Metamer emission,DLI,Males,1200,0.139,1.3530845530226545e-06,***
Leaf number increase,PPFD morning,All,2250,0.261,1.9840037362851626e-36,***
Leaf number increase,PPFD midday,All,2250,0.221,2.1825174255225784e-26,***
Leaf number increase,PPFD afternoon,All,2250,0.167,1.4510399470733268e-15,***
