Variable,Contrast,mean_A,mean_B,n_A,n_B,U,p,sig
Shoot elongation,Female vs Male | MO,5.23,3.82,750,375,147816,0.1191,n.s.
Shoot elongation,Female vs Male | AFS,4.05,4.51,300,825,124854,0.8016,n.s.
Shoot elongation,MO vs AFS (sexes pooled),4.76,4.39,1125,1125,627528,0.7046,n.s.
Metamer emission,Female vs Male | MO,4.66,4.46,750,375,145498,0.2866,n.s.
Metamer emission,Female vs Male | AFS,3.25,3.28,300,825,127103,0.4261,n.s.
Metamer emission,MO vs AFS (sexes pooled),4.59,3.27,1125,1125,673424,0.0028,**
Leaf number increase,Female vs Male | MO,3.06,3.1,750,375,142247,0.716,n.s.
Leaf number increase,Female vs Male | AFS,2.02,1.95,300,825,126783,0.4527,n.s.
Leaf number increase,MO vs AFS (sexes pooled),3.07,1.97,1125,1125,678426,0.0005,***
Leaf area increase,Female vs Male | MO,84.92,85.66,750,375,144058,0.4473,n.s.
Leaf area increase,Female vs Male | AFS,93.63,89.68,300,825,127480,0.3914,n.s.
Leaf area increase,MO vs AFS (sexes pooled),85.17,90.73,1125,1125,609346,0.0876,n.s.
Leaf shed,Female vs Male | MO,2.19,1.96,750,375,145784,0.2275,n.s.
Leaf shed,Female vs Male | AFS,1.63,1.69,300,825,124806,0.7885,n.s.
Leaf shed,MO vs AFS (sexes pooled),2.11,1.67,1125,1125,651494,0.1414,n.s.
